Area, CD68/CD163405S, HLA-DR488, CD45568, Hematoxylin, Position X, Position Y, Sphericity, Volume
99.414, 78.9944, 11.9056, 10.9889, 139.611, 102906, 35432.1, 0.766392, 62.5348
116.018, 69.8571, 12.8571, 9.89732, 145.804, 102896, 35445.1, 0.743391, 75.3161
300.924, 51.949, 27.6401, 13.2341, 161.901, 103004, 35346.2, 0.597698, 226.82
75.3317, 44.8939, 12.9773, 10.4773, 167.038, 102958, 35385.3, 0.805878, 44.4779
98.3576, 37.0625, 12.8864, 10.9432, 151.358, 102890, 35458, 0.72272, 56.3561
118.094, 41.0536, 26.8259, 12.683, 157.804, 103051, 35306.4, 0.726748, 74.7633
117.138, 35.3909, 27.3045, 11.0864, 164.105, 102963, 35413.4, 0.736991, 75.4248
227.605, 57.5636, 22.1996, 15.3794, 165.32, 102979, 35414.7, 0.624028, 159.166
118.216, 49.2136, 11.0864, 13.1727, 167.768, 102972, 35423.2, 0.710989, 72.4578
52.9284, 40.9432, 33.5455, 6.52273, 157.989, 103012, 35401.6, 0.852974, 28.524
218.679, 42.3861, 17.2005, 33.2896, 158.597, 102846, 35585, 0.593033, 138.868
114.963, 63.3409, 16.6318, 7.44091, 161.782, 102866, 35584, 0.744051, 74.3901
115.588, 47.4821, 23.7679, 3.24554, 158.116, 102888, 35564.3, 0.74268, 74.7906
199.396, 80.6201, 22.2819, 6.01225, 159.828, 102898, 35566.8, 0.665121, 143.614
200.405, 46.7649, 17.7327, 15.8688, 151.512, 102962, 35512.1, 0.655501, 141.578
250.632, 58.778, 20.01, 12.89, 147.606, 102966, 35521.4, 0.617452, 181.023
172.835, 53.3705, 18.9669, 10.759, 143.554, 102961, 35529.8, 0.669966, 117.165
94.1807, 44.1977, 20.3605, 15.343, 155.273, 102913, 35600.1, 0.764955, 57.5004
166.111, 39.8667, 15.25, 26.02, 161.843, 102897, 35430.6, 0.62904, 100.436
54.4605, 47.7609, 13.8152, 7.55435, 159.467, 102836, 35494.7, 0.834473, 28.8081
339.023, 37.9848, 13.5061, 20.4712, 154.856, 102879, 35421.6, 0.532013, 227.772
53.7345, 51.0341, 11.0682, 7.20455, 166.92, 102977, 35300.7, 0.85257, 29.1574
395.089, 47.9122, 14.6439, 22.1341, 159.963, 103049, 35213.5, 0.536364, 290.072
108.986, 62.4363, 18.4951, 8.45588, 161.225, 103009, 35257.1, 0.753965, 70.0418
134.344, 42.7154, 11.3154, 9.70769, 167.488, 102966, 35279.6, 0.715872, 88.6854
196.56, 66.02, 13.59, 16.275, 164.27, 102971, 35230, 0.664744, 140.442
138.972, 50.5492, 17.8144, 17.8485, 155.178, 103039, 35163.3, 0.708331, 91.8371
108.759, 35, 12.6939, 39.6837, 155.219, 103060, 35159.8, 0.712426, 64.1333
68.5239, 77.7833, 18.9583, 8.68333, 149.075, 103054, 35106.2, 0.808943, 38.8073
546.728, 44.4585, 14.45, 15.5771, 155.754, 103033, 35146.5, 0.496607, 420.679
148.945, 39.0634, 10.4613, 15.5739, 156.831, 103013, 35163.8, 0.679956, 95.837
289.503, 66.9032, 22.9683, 18.6673, 154.114, 102997, 35187.4, 0.575992, 202.479
230.992, 41.2411, 10.6704, 19.6128, 157.044, 103014, 35138, 0.609697, 157.16
223.855, 43.1627, 34.2901, 13.8962, 154.163, 102975, 35182.1, 0.58395, 140.535
113.024, 80.4151, 17.7311, 5.61321, 156.193, 102992, 35034.3, 0.74667, 72.8994
96.0203, 43.3807, 21.1364, 10.8693, 152.705, 102962, 35124.4, 0.75236, 57.7373
126.523, 46.2664, 19.582, 9.62705, 160.967, 102981, 35157.6, 0.730604, 83.5699
72.3099, 43.0606, 46.0682, 7.82576, 153.364, 102955, 34934, 0.807268, 41.937
242.409, 57.2863, 18.502, 8.85887, 158.389, 102953, 34953.1, 0.622052, 174.115
96.0338, 46.5, 24.6686, 11.093, 141.669, 102861, 34971.7, 0.763965, 59.0908
374.2, 37.4338, 23.275, 9.21176, 152.159, 102940, 34911.6, 0.485337, 230.141
148.621, 47.8611, 26.8438, 14.2535, 150.281, 102850, 35001.3, 0.698683, 99.4976
84.5653, 40.891, 16.9744, 24.8718, 154.346, 102925, 34933.4, 0.780771, 50.4485
156.685, 53.5946, 20.5743, 7.43581, 156.203, 102951, 34917.9, 0.691795, 106.116
115.226, 46.25, 13.6955, 5.43636, 159.009, 102914, 34902.7, 0.737766, 73.7014
118.721, 39.4104, 27.0425, 10.9481, 148.896, 102930, 34890.5, 0.712297, 73.1237
252.72, 44.3169, 20.8445, 8.60039, 156.425, 102624, 35210.5, 0.601652, 176.3
