
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,ID,
8.73438,6.11328,2,um,Surface,BoundingBoxAA Length,1,238,
8.72656,7.86328,2,um,Surface,BoundingBoxAA Length,1,239,
12.2266,15.7188,2,um,Surface,BoundingBoxAA Length,1,240,
6.98438,6.11328,2,um,Surface,BoundingBoxAA Length,1,241,
6.98438,10.4805,2,um,Surface,BoundingBoxAA Length,1,242,
6.11719,10.4805,2,um,Surface,BoundingBoxAA Length,1,243,
8.73438,7.86328,2,um,Surface,BoundingBoxAA Length,1,244,
16.5938,9.60547,2,um,Surface,BoundingBoxAA Length,1,245,
8.72656,10.4805,2,um,Surface,BoundingBoxAA Length,1,246,
5.24219,6.11328,2,um,Surface,BoundingBoxAA Length,1,247,
16.5938,13.1016,2,um,Surface,BoundingBoxAA Length,1,248,
7.85938,8.73438,2,um,Surface,BoundingBoxAA Length,1,249,
8.73438,7.86328,2,um,Surface,BoundingBoxAA Length,1,250,
11.3516,10.4844,2,um,Surface,BoundingBoxAA Length,1,251,
10.4844,10.4805,2,um,Surface,BoundingBoxAA Length,1,252,
13.1016,13.9727,2,um,Surface,BoundingBoxAA Length,1,253,
8.73438,12.2266,2,um,Surface,BoundingBoxAA Length,1,254,
8.73438,6.11328,2,um,Surface,BoundingBoxAA Length,1,255,
9.60938,12.2305,2,um,Surface,BoundingBoxAA Length,1,256,
6.11719,5.24219,2,um,Surface,BoundingBoxAA Length,1,257,
15.7188,20.0898,2,um,Surface,BoundingBoxAA Length,1,258,
5.24219,5.23828,2,um,Surface,BoundingBoxAA Length,1,259,
18.3438,16.5938,2,um,Surface,BoundingBoxAA Length,1,260,
8.73438,6.98438,2,um,Surface,BoundingBoxAA Length,1,261,
8.73438,9.60547,2,um,Surface,BoundingBoxAA Length,1,262,
12.2266,9.60938,2,um,Surface,BoundingBoxAA Length,1,263,
10.4844,7.85938,2,um,Surface,BoundingBoxAA Length,1,264,
6.99219,9.60547,2,um,Surface,BoundingBoxAA Length,1,265,
5.23438,6.98438,2,um,Surface,BoundingBoxAA Length,1,266,
26.1953,16.5938,2,um,Surface,BoundingBoxAA Length,1,267,
8.72656,11.3516,2,um,Surface,BoundingBoxAA Length,1,268,
16.5859,15.7227,2,um,Surface,BoundingBoxAA Length,1,269,
11.3516,15.7188,2,um,Surface,BoundingBoxAA Length,1,270,
13.1016,17.4688,2,um,Surface,BoundingBoxAA Length,1,271,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,272,
6.98438,8.73438,2,um,Surface,BoundingBoxAA Length,1,273,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,274,
6.10938,6.98828,2,um,Surface,BoundingBoxAA Length,1,275,
8.73438,15.7227,2,um,Surface,BoundingBoxAA Length,1,276,
7.85938,7.85938,2,um,Surface,BoundingBoxAA Length,1,277,
16.5859,22.707,2,um,Surface,BoundingBoxAA Length,1,278,
8.73438,11.3516,2,um,Surface,BoundingBoxAA Length,1,279,
6.98438,6.98828,2,um,Surface,BoundingBoxAA Length,1,280,
9.60938,9.60547,2,um,Surface,BoundingBoxAA Length,1,281,
9.60938,7.86328,2,um,Surface,BoundingBoxAA Length,1,282,
6.98438,11.3555,2,um,Surface,BoundingBoxAA Length,1,283,
9.60938,17.4688,2,um,Surface,BoundingBoxAA Length,1,284,
8.73438,14.8477,2,um,Surface,BoundingBoxAA Length,1,285,
7.85938,8.73438,2,um,Surface,BoundingBoxAA Length,1,286,
8.73438,6.11328,2,um,Surface,BoundingBoxAA Length,1,287,
8.73438,9.60938,2,um,Surface,BoundingBoxAA Length,1,288,
8.72656,8.73438,2,um,Surface,BoundingBoxAA Length,1,289,
13.1016,10.4805,2,um,Surface,BoundingBoxAA Length,1,290,
10.4766,9.60938,2,um,Surface,BoundingBoxAA Length,1,291,
13.1016,12.2266,2,um,Surface,BoundingBoxAA Length,1,292,
6.99219,7.86328,2,um,Surface,BoundingBoxAA Length,1,293,
13.0938,13.0977,2,um,Surface,BoundingBoxAA Length,1,294,
8.73438,14.8477,2,um,Surface,BoundingBoxAA Length,1,295,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,296,
12.2266,8.73438,2,um,Surface,BoundingBoxAA Length,1,297,
6.10938,5.24219,2,um,Surface,BoundingBoxAA Length,1,298,
7.85938,6.98828,2,um,Surface,BoundingBoxAA Length,1,299,
11.3516,7.85938,2,um,Surface,BoundingBoxAA Length,1,300,
11.3516,16.5938,2,um,Surface,BoundingBoxAA Length,1,301,
6.11719,6.98828,2,um,Surface,BoundingBoxAA Length,1,302,
19.2109,10.4844,2,um,Surface,BoundingBoxAA Length,1,303,
7.85938,9.60938,2,um,Surface,BoundingBoxAA Length,1,304,
15.7266,14.8477,2,um,Surface,BoundingBoxAA Length,1,305,
6.11719,6.98828,2,um,Surface,BoundingBoxAA Length,1,306,
6.10938,9.60938,2,um,Surface,BoundingBoxAA Length,1,307,
12.2266,11.3555,2,um,Surface,BoundingBoxAA Length,1,308,
6.10938,6.98438,2,um,Surface,BoundingBoxAA Length,1,309,
8.73438,6.98828,2,um,Surface,BoundingBoxAA Length,1,310,
16.5859,16.5977,2,um,Surface,BoundingBoxAA Length,1,311,
13.9766,22.707,2,um,Surface,BoundingBoxAA Length,1,312,
5.24219,6.98828,2,um,Surface,BoundingBoxAA Length,1,313,
16.5938,12.2266,2,um,Surface,BoundingBoxAA Length,1,314,
7.85938,6.98438,2,um,Surface,BoundingBoxAA Length,1,315,
8.73438,9.60938,2,um,Surface,BoundingBoxAA Length,1,316,
8.72656,12.2266,2,um,Surface,BoundingBoxAA Length,1,317,
18.3359,14.8477,2,um,Surface,BoundingBoxAA Length,1,318,
7.85938,7.85938,2,um,Surface,BoundingBoxAA Length,1,319,
6.98438,7.85938,2,um,Surface,BoundingBoxAA Length,1,320,
6.11719,6.98438,2,um,Surface,BoundingBoxAA Length,1,321,
6.11719,7.85938,2,um,Surface,BoundingBoxAA Length,1,322,
8.73438,13.0977,2,um,Surface,BoundingBoxAA Length,1,323,
10.4766,11.3555,2,um,Surface,BoundingBoxAA Length,1,324,
7.85938,9.60547,2,um,Surface,BoundingBoxAA Length,1,325,
7.85938,9.60938,2,um,Surface,BoundingBoxAA Length,1,326,
13.0938,13.1016,2,um,Surface,BoundingBoxAA Length,1,327,
13.9766,8.73438,2,um,Surface,BoundingBoxAA Length,1,328,
9.60938,9.60547,2,um,Surface,BoundingBoxAA Length,1,329,
7.86719,9.60547,2,um,Surface,BoundingBoxAA Length,1,330,
8.73438,9.60547,2,um,Surface,BoundingBoxAA Length,1,331,
5.23438,7.86328,2,um,Surface,BoundingBoxAA Length,1,332,
6.10938,6.11328,2,um,Surface,BoundingBoxAA Length,1,333,
9.60938,7.85938,2,um,Surface,BoundingBoxAA Length,1,334,
10.4844,8.73438,2,um,Surface,BoundingBoxAA Length,1,335,
8.73438,7.85938,2,um,Surface,BoundingBoxAA Length,1,336,
10.4766,7.85938,2,um,Surface,BoundingBoxAA Length,1,337,
6.10938,6.11328,2,um,Surface,BoundingBoxAA Length,1,338,
11.3516,12.2266,2,um,Surface,BoundingBoxAA Length,1,339,
13.1016,7.85938,2,um,Surface,BoundingBoxAA Length,1,340,
5.23438,7.85938,2,um,Surface,BoundingBoxAA Length,1,341,
8.73438,6.98828,2,um,Surface,BoundingBoxAA Length,1,342,
10.4766,13.1016,2,um,Surface,BoundingBoxAA Length,1,343,
8.73438,10.4805,2,um,Surface,BoundingBoxAA Length,1,344,
13.9688,10.4805,2,um,Surface,BoundingBoxAA Length,1,345,
11.3516,11.3555,2,um,Surface,BoundingBoxAA Length,1,346,
6.10938,6.11328,2,um,Surface,BoundingBoxAA Length,1,347,
9.60938,7.85938,2,um,Surface,BoundingBoxAA Length,1,348,
6.11719,6.11328,2,um,Surface,BoundingBoxAA Length,1,349,
6.98438,7.85938,2,um,Surface,BoundingBoxAA Length,1,350,
9.60156,10.4844,2,um,Surface,BoundingBoxAA Length,1,351,
6.10938,9.60938,2,um,Surface,BoundingBoxAA Length,1,352,
15.7188,13.9727,2,um,Surface,BoundingBoxAA Length,1,353,
18.3438,15.7227,2,um,Surface,BoundingBoxAA Length,1,354,
25.3281,19.2148,2,um,Surface,BoundingBoxAA Length,1,355,
6.98438,6.11328,2,um,Surface,BoundingBoxAA Length,1,356,
7.85938,7.86328,2,um,Surface,BoundingBoxAA Length,1,357,
5.23438,6.98828,2,um,Surface,BoundingBoxAA Length,1,358,
10.4766,11.3555,2,um,Surface,BoundingBoxAA Length,1,359,
9.60938,11.3555,2,um,Surface,BoundingBoxAA Length,1,360,
12.2266,16.5938,2,um,Surface,BoundingBoxAA Length,1,361,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,362,
