
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
102906,35431.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,238,
102896,35444.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,239,
103004,35346.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,240,
102958,35385.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,241,
102890,35458.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,242,
103051,35306.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,243,
102963,35413.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,244,
102979,35414.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,245,
102972,35423,0.5,um,Surface,2,Center of Image Mass,Image 1,1,246,
103012,35401.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,247,
102846,35584.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,248,
102866,35583.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,249,
102887,35564.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,250,
102898,35566.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,251,
102962,35511.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,252,
102966,35521.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,253,
102962,35529.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,254,
102914,35600.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,255,
102897,35431.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,256,
102836,35494.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,257,
102879,35420.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,258,
102977,35300.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,259,
103049,35212.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,260,
103009,35257,0.5,um,Surface,2,Center of Image Mass,Image 1,1,261,
102966,35279.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,262,
102970,35229.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,263,
103038,35163.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,264,
103060,35159.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,265,
