
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
439.625,um,Surface,Image 1,1,238,
446.102,um,Surface,Image 1,1,239,
340.141,um,Surface,Image 1,1,240,
388.977,um,Surface,Image 1,1,241,
431.813,um,Surface,Image 1,1,242,
295.734,um,Surface,Image 1,1,243,
382.141,um,Surface,Image 1,1,244,
362.688,um,Surface,Image 1,1,245,
373.422,um,Surface,Image 1,1,246,
335.141,um,Surface,Image 1,1,247,
303.586,um,Surface,Image 1,1,248,
306.715,um,Surface,Image 1,1,249,
326.898,um,Surface,Image 1,1,250,
323.07,um,Surface,Image 1,1,251,
377.797,um,Surface,Image 1,1,252,
366.695,um,Surface,Image 1,1,253,
359.148,um,Surface,Image 1,1,254,
291.938,um,Surface,Image 1,1,255,
448.094,um,Surface,Image 1,1,256,
397.793,um,Surface,Image 1,1,257,
463.266,um,Surface,Image 1,1,258,
370.625,um,Surface,Image 1,1,259,
291.883,um,Surface,Image 1,1,260,
336.555,um,Surface,Image 1,1,261,
379.258,um,Surface,Image 1,1,262,
373.359,um,Surface,Image 1,1,263,
306.234,um,Surface,Image 1,1,264,
286.828,um,Surface,Image 1,1,265,
292.961,um,Surface,Image 1,1,266,
303.719,um,Surface,Image 1,1,267,
332.781,um,Surface,Image 1,1,268,
345.047,um,Surface,Image 1,1,269,
330.688,um,Surface,Image 1,1,270,
368.688,um,Surface,Image 1,1,271,
354.086,um,Surface,Image 1,1,272,
384.883,um,Surface,Image 1,1,273,
364.828,um,Surface,Image 1,1,274,
392.32,um,Surface,Image 1,1,275,
392.641,um,Surface,Image 1,1,276,
484.805,um,Surface,Image 1,1,277,
401.656,um,Surface,Image 1,1,278,
495.422,um,Surface,Image 1,1,279,
421.344,um,Surface,Image 1,1,280,
394.266,um,Surface,Image 1,1,281,
431.023,um,Surface,Image 1,1,282,
416.375,um,Surface,Image 1,1,283,
675.906,um,Surface,Image 1,1,284,
363.336,um,Surface,Image 1,1,285,
463.906,um,Surface,Image 1,1,286,
696.563,um,Surface,Image 1,1,287,
393.977,um,Surface,Image 1,1,288,
489.063,um,Surface,Image 1,1,289,
391.094,um,Surface,Image 1,1,290,
669.219,um,Surface,Image 1,1,291,
453.375,um,Surface,Image 1,1,292,
675.75,um,Surface,Image 1,1,293,
666.563,um,Surface,Image 1,1,294,
456.633,um,Surface,Image 1,1,295,
462.617,um,Surface,Image 1,1,296,
396.719,um,Surface,Image 1,1,297,
525.195,um,Surface,Image 1,1,298,
482.414,um,Surface,Image 1,1,299,
487.953,um,Surface,Image 1,1,300,
431.641,um,Surface,Image 1,1,301,
618.828,um,Surface,Image 1,1,302,
553.5,um,Surface,Image 1,1,303,
678.367,um,Surface,Image 1,1,304,
733.719,um,Surface,Image 1,1,305,
669.609,um,Surface,Image 1,1,306,
439.586,um,Surface,Image 1,1,307,
698.25,um,Surface,Image 1,1,308,
721.727,um,Surface,Image 1,1,309,
657.906,um,Surface,Image 1,1,310,
739.344,um,Surface,Image 1,1,311,
614.484,um,Surface,Image 1,1,312,
425.578,um,Surface,Image 1,1,313,
466.867,um,Surface,Image 1,1,314,
439.719,um,Surface,Image 1,1,315,
748.012,um,Surface,Image 1,1,316,
736.75,um,Surface,Image 1,1,317,
748.766,um,Surface,Image 1,1,318,
763.293,um,Surface,Image 1,1,319,
741.539,um,Surface,Image 1,1,320,
657.953,um,Surface,Image 1,1,321,
450.938,um,Surface,Image 1,1,322,
472.422,um,Surface,Image 1,1,323,
503.813,um,Surface,Image 1,1,324,
772.273,um,Surface,Image 1,1,325,
709.07,um,Surface,Image 1,1,326,
785.031,um,Surface,Image 1,1,327,
778.266,um,Surface,Image 1,1,328,
788.969,um,Surface,Image 1,1,329,
481.703,um,Surface,Image 1,1,330,
678.328,um,Surface,Image 1,1,331,
656.383,um,Surface,Image 1,1,332,
816.922,um,Surface,Image 1,1,333,
814.656,um,Surface,Image 1,1,334,
772.313,um,Surface,Image 1,1,335,
592.586,um,Surface,Image 1,1,336,
637.344,um,Surface,Image 1,1,337,
794.125,um,Surface,Image 1,1,338,
516.234,um,Surface,Image 1,1,339,
642.641,um,Surface,Image 1,1,340,
736.266,um,Surface,Image 1,1,341,
636.383,um,Surface,Image 1,1,342,
824.656,um,Surface,Image 1,1,343,
812.328,um,Surface,Image 1,1,344,
822.336,um,Surface,Image 1,1,345,
728.078,um,Surface,Image 1,1,346,
743.539,um,Surface,Image 1,1,347,
815.406,um,Surface,Image 1,1,348,
654.469,um,Surface,Image 1,1,349,
804.523,um,Surface,Image 1,1,350,
728.906,um,Surface,Image 1,1,351,
713.055,um,Surface,Image 1,1,352,
583.375,um,Surface,Image 1,1,353,
718.203,um,Surface,Image 1,1,354,
794.172,um,Surface,Image 1,1,355,
731.555,um,Surface,Image 1,1,356,
817.57,um,Surface,Image 1,1,357,
795.859,um,Surface,Image 1,1,358,
536.234,um,Surface,Image 1,1,359,
529.695,um,Surface,Image 1,1,360,
769.922,um,Surface,Image 1,1,361,
702.5,um,Surface,Image 1,1,362,
539.656,um,Surface,Image 1,1,363,
708.734,um,Surface,Image 1,1,364,
636.219,um,Surface,Image 1,1,365,
662.43,um,Surface,Image 1,1,366,
573.938,um,Surface,Image 1,1,367,
541.93,um,Surface,Image 1,1,368,
699.828,um,Surface,Image 1,1,369,
686.813,um,Surface,Image 1,1,370,
611.656,um,Surface,Image 1,1,371,
678.945,um,Surface,Image 1,1,372,
547.938,um,Surface,Image 1,1,373,
628.234,um,Surface,Image 1,1,374,
679.359,um,Surface,Image 1,1,375,
691.141,um,Surface,Image 1,1,376,
644.055,um,Surface,Image 1,1,377,
684.141,um,Surface,Image 1,1,378,
651.75,um,Surface,Image 1,1,379,
685.938,um,Surface,Image 1,1,380,
644.25,um,Surface,Image 1,1,381,
635.125,um,Surface,Image 1,1,382,
683.359,um,Surface,Image 1,1,383,
632.086,um,Surface,Image 1,1,384,
641.5,um,Surface,Image 1,1,385,
607.164,um,Surface,Image 1,1,386,
626.641,um,Surface,Image 1,1,387,
668.5,um,Surface,Image 1,1,388,
653.281,um,Surface,Image 1,1,389,
606.68,um,Surface,Image 1,1,390,
615.836,um,Surface,Image 1,1,391,
583.828,um,Surface,Image 1,1,392,
598.453,um,Surface,Image 1,1,393,
609.445,um,Surface,Image 1,1,394,
645.875,um,Surface,Image 1,1,395,
566.988,um,Surface,Image 1,1,396,
567.832,um,Surface,Image 1,1,397,
522.117,um,Surface,Image 1,1,398,
544.727,um,Surface,Image 1,1,399,
617.199,um,Surface,Image 1,1,400,
568.25,um,Surface,Image 1,1,401,
546.109,um,Surface,Image 1,1,402,
528.992,um,Surface,Image 1,1,403,
518.969,um,Surface,Image 1,1,404,
497.48,um,Surface,Image 1,1,405,
483.215,um,Surface,Image 1,1,406,
478.098,um,Surface,Image 1,1,407,
468.551,um,Surface,Image 1,1,408,
509.348,um,Surface,Image 1,1,409,
410.777,um,Surface,Image 1,1,410,
392.793,um,Surface,Image 1,1,411,
373.676,um,Surface,Image 1,1,412,
441.34,um,Surface,Image 1,1,413,
313.18,um,Surface,Image 1,1,414,
338.273,um,Surface,Image 1,1,415,
286.137,um,Surface,Image 1,1,416,
312.051,um,Surface,Image 1,1,417,
321.176,um,Surface,Image 1,1,418,
267.059,um,Surface,Image 1,1,419,
313.961,um,Surface,Image 1,1,420,
228.582,um,Surface,Image 1,1,421,
229.977,um,Surface,Image 1,1,422,
251.402,um,Surface,Image 1,1,423,
299.898,um,Surface,Image 1,1,424,
260.754,um,Surface,Image 1,1,425,
309.883,um,Surface,Image 1,1,426,
269.074,um,Surface,Image 1,1,427,
