
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
-0.0460439,-0.998939,6.52792e-12,um,Surface,Ellipsoid Axis B,1,238,
-0.389368,-0.921082,2.50505e-11,um,Surface,Ellipsoid Axis B,1,239,
0.951732,-0.306931,-3.18176e-11,um,Surface,Ellipsoid Axis B,1,240,
0.117701,0.993049,1.06624e-12,um,Surface,Ellipsoid Axis B,1,241,
0.913302,0.407284,-3.97511e-11,um,Surface,Ellipsoid Axis B,1,242,
0.999577,-0.0290979,-3.77574e-12,um,Surface,Ellipsoid Axis B,1,243,
0.270913,-0.962604,1.15589e-11,um,Surface,Ellipsoid Axis B,1,244,
0.192221,-0.981352,-9.52304e-12,um,Surface,Ellipsoid Axis B,1,245,
0.828595,-0.559848,1.56805e-11,um,Surface,Ellipsoid Axis B,1,246,
-1,3.13258e-06,-1.3171e-11,um,Surface,Ellipsoid Axis B,1,247,
0.604454,0.79664,2.50314e-11,um,Surface,Ellipsoid Axis B,1,248,
0.906641,0.421904,4.75829e-11,um,Surface,Ellipsoid Axis B,1,249,
0.495632,0.868533,-4.32508e-12,um,Surface,Ellipsoid Axis B,1,250,
-0.329395,-0.944192,2.52545e-12,um,Surface,Ellipsoid Axis B,1,251,
-0.856365,-0.51637,-1.24061e-11,um,Surface,Ellipsoid Axis B,1,252,
-0.791934,-0.610607,-2.82141e-12,um,Surface,Ellipsoid Axis B,1,253,
0.970221,-0.242222,-4.22749e-13,um,Surface,Ellipsoid Axis B,1,254,
0.253855,0.967242,1.17248e-12,um,Surface,Ellipsoid Axis B,1,255,
-0.99872,0.0505783,-7.08468e-12,um,Surface,Ellipsoid Axis B,1,256,
0.564047,0.825743,0,um,Surface,Ellipsoid Axis B,1,257,
-0.990559,-0.137089,-7.32961e-12,um,Surface,Ellipsoid Axis B,1,258,
0.70869,0.70552,0,um,Surface,Ellipsoid Axis B,1,259,
0.708887,0.705322,-1.60249e-12,um,Surface,Ellipsoid Axis B,1,260,
-0.126961,0.991908,3.16645e-12,um,Surface,Ellipsoid Axis B,1,261,
