
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
-0.998939,0.0460439,2.80008e-11,um,Surface,Ellipsoid Axis C,1,238,
0.921082,-0.389368,-4.29355e-12,um,Surface,Ellipsoid Axis C,1,239,
0.306931,0.951732,-2.73634e-12,um,Surface,Ellipsoid Axis C,1,240,
0.993049,-0.117701,-6.67528e-12,um,Surface,Ellipsoid Axis C,1,241,
-0.407284,0.913302,2.46433e-12,um,Surface,Ellipsoid Axis C,1,242,
0.0290979,0.999577,-3.54006e-14,um,Surface,Ellipsoid Axis C,1,243,
-0.962604,-0.270913,-2.72241e-11,um,Surface,Ellipsoid Axis C,1,244,
-0.981352,-0.192221,-2.02689e-11,um,Surface,Ellipsoid Axis C,1,245,
0.559848,0.828595,1.94147e-12,um,Surface,Ellipsoid Axis C,1,246,
-3.13258e-06,-1,-2.32983e-12,um,Surface,Ellipsoid Axis C,1,247,
0.79664,-0.604454,-1.99002e-12,um,Surface,Ellipsoid Axis C,1,248,
-0.421904,0.906641,-1.7266e-11,um,Surface,Ellipsoid Axis C,1,249,
0.868533,-0.495632,-3.29042e-11,um,Surface,Ellipsoid Axis C,1,250,
0.944192,-0.329395,-4.33954e-13,um,Surface,Ellipsoid Axis C,1,251,
0.51637,-0.856365,4.8944e-12,um,Surface,Ellipsoid Axis C,1,252,
0.610607,-0.791934,2.69383e-13,um,Surface,Ellipsoid Axis C,1,253,
-0.242222,-0.970221,3.28819e-12,um,Surface,Ellipsoid Axis C,1,254,
0.967242,-0.253855,5.59792e-12,um,Surface,Ellipsoid Axis C,1,255,
-0.0505783,-0.99872,-1.67705e-12,um,Surface,Ellipsoid Axis C,1,256,
0.825743,-0.564047,0,um,Surface,Ellipsoid Axis C,1,257,
0.137089,-0.990559,-1.93669e-12,um,Surface,Ellipsoid Axis C,1,258,
-0.70552,0.70869,0,um,Surface,Ellipsoid Axis C,1,259,
0.705322,-0.708887,-3.87007e-12,um,Surface,Ellipsoid Axis C,1,260,
0.991908,0.126961,-1.43997e-11,um,Surface,Ellipsoid Axis C,1,261,
-0.220654,0.975352,2.19007e-12,um,Surface,Ellipsoid Axis C,1,262,
0.972615,0.232423,-7.2157e-12,um,Surface,Ellipsoid Axis C,1,263,
0.856256,0.516551,4.53702e-12,um,Surface,Ellipsoid Axis C,1,264,
-0.439335,0.898323,2.36091e-12,um,Surface,Ellipsoid Axis C,1,265,
0.263033,-0.964787,7.4644e-13,um,Surface,Ellipsoid Axis C,1,266,
0.941319,0.337519,-2.73922e-12,um,Surface,Ellipsoid Axis C,1,267,
0.598863,-0.800851,-4.18769e-12,um,Surface,Ellipsoid Axis C,1,268,
0.662205,-0.749323,9.29865e-14,um,Surface,Ellipsoid Axis C,1,269,
0.313468,0.949599,2.76673e-13,um,Surface,Ellipsoid Axis C,1,270,
0.549695,-0.835365,-3.45461e-12,um,Surface,Ellipsoid Axis C,1,271,
0.698873,0.715246,2.25269e-11,um,Surface,Ellipsoid Axis C,1,272,
-0.407849,-0.913049,1.34508e-12,um,Surface,Ellipsoid Axis C,1,273,
0.749019,-0.662549,-1.05081e-11,um,Surface,Ellipsoid Axis C,1,274,
0.119136,-0.992878,3.8906e-13,um,Surface,Ellipsoid Axis C,1,275,
0.101846,0.9948,1.99649e-12,um,Surface,Ellipsoid Axis C,1,276,
-0.755119,-0.655588,3.31754e-11,um,Surface,Ellipsoid Axis C,1,277,
0.587177,0.809459,2.32422e-12,um,Surface,Ellipsoid Axis C,1,278,
0.470049,-0.882641,4.63105e-12,um,Surface,Ellipsoid Axis C,1,279,
