
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,ID,
4.44079,um,Surface,1,238,
4.55476,um,Surface,1,239,
9.00571,um,Surface,1,240,
3.38487,um,Surface,1,241,
6.03224,um,Surface,1,242,
5.49685,um,Surface,1,243,
4.57098,um,Surface,1,244,
9.35858,um,Surface,1,245,
5.87466,um,Surface,1,246,
2.84956,um,Surface,1,247,
10.261,um,Surface,1,248,
4.5779,um,Surface,1,249,
4.71755,um,Surface,1,250,
6.16813,um,Surface,1,251,
5.74319,um,Surface,1,252,
7.63455,um,Surface,1,253,
5.93256,um,Surface,1,254,
4.47159,um,Surface,1,255,
7.60043,um,Surface,1,256,
3.14643,um,Surface,1,257,
10.9929,um,Surface,1,258,
2.72982,um,Surface,1,259,
10.7978,um,Surface,1,260,
4.51225,um,Surface,1,261,
4.96138,um,Surface,1,262,
6.19437,um,Surface,1,263,
5.764,um,Surface,1,264,
5.24815,um,Surface,1,265,
3.62383,um,Surface,1,266,
13.7362,um,Surface,1,267,
6.06308,um,Surface,1,268,
10.1274,um,Surface,1,269,
9.16282,um,Surface,1,270,
10.6231,um,Surface,1,271,
4.8384,um,Surface,1,272,
4.86732,um,Surface,1,273,
4.46782,um,Surface,1,274,
3.38416,um,Surface,1,275,
9.06817,um,Surface,1,276,
4.18131,um,Surface,1,277,
13.5464,um,Surface,1,278,
6.10227,um,Surface,1,279,
3.7141,um,Surface,1,280,
5.51531,um,Surface,1,281,
4.6168,um,Surface,1,282,
5.93723,um,Surface,1,283,
9.53591,um,Surface,1,284,
8.60204,um,Surface,1,285,
4.40502,um,Surface,1,286,
4.1701,um,Surface,1,287,
5.17473,um,Surface,1,288,
4.62021,um,Surface,1,289,
7.59295,um,Surface,1,290,
5.36846,um,Surface,1,291,
7.10227,um,Surface,1,292,
3.61624,um,Surface,1,293,
6.29709,um,Surface,1,294,
6.97877,um,Surface,1,295,
5.38895,um,Surface,1,296,
7.21049,um,Surface,1,297,
2.98918,um,Surface,1,298,
3.60101,um,Surface,1,299,
5.96724,um,Surface,1,300,
9.74776,um,Surface,1,301,
3.25176,um,Surface,1,302,
11.1921,um,Surface,1,303,
4.72212,um,Surface,1,304,
8.06788,um,Surface,1,305,
3.62679,um,Surface,1,306,
4.92364,um,Surface,1,307,
7.36585,um,Surface,1,308,
3.4078,um,Surface,1,309,
4.39963,um,Surface,1,310,
8.64612,um,Surface,1,311,
13.1045,um,Surface,1,312,
3.68022,um,Surface,1,313,
9.71234,um,Surface,1,314,
4.02239,um,Surface,1,315,
5.28721,um,Surface,1,316,
6.81124,um,Surface,1,317,
11.4484,um,Surface,1,318,
3.95832,um,Surface,1,319,
4.0269,um,Surface,1,320,
3.67901,um,Surface,1,321,
4.17572,um,Surface,1,322,
7.77176,um,Surface,1,323,
5.6593,um,Surface,1,324,
4.94692,um,Surface,1,325,
4.55165,um,Surface,1,326,
7.54498,um,Surface,1,327,
7.37203,um,Surface,1,328,
5.73775,um,Surface,1,329,
5.35435,um,Surface,1,330,
4.95059,um,Surface,1,331,
4.19587,um,Surface,1,332,
3.17393,um,Surface,1,333,
5.95844,um,Surface,1,334,
5.73283,um,Surface,1,335,
4.94662,um,Surface,1,336,
5.36584,um,Surface,1,337,
3.02419,um,Surface,1,338,
6.45696,um,Surface,1,339,
6.90293,um,Surface,1,340,
3.9448,um,Surface,1,341,
4.84371,um,Surface,1,342,
7.40065,um,Surface,1,343,
5.80559,um,Surface,1,344,
7.60143,um,Surface,1,345,
6.08669,um,Surface,1,346,
2.95856,um,Surface,1,347,
5.04221,um,Surface,1,348,
3.29796,um,Surface,1,349,
3.68501,um,Surface,1,350,
5.5332,um,Surface,1,351,
4.63645,um,Surface,1,352,
8.8034,um,Surface,1,353,
10.6358,um,Surface,1,354,
14.1787,um,Surface,1,355,
3.56377,um,Surface,1,356,
4.01853,um,Surface,1,357,
3.65711,um,Surface,1,358,
5.84246,um,Surface,1,359,
5.33336,um,Surface,1,360,
8.44935,um,Surface,1,361,
4.60443,um,Surface,1,362,
5.7132,um,Surface,1,363,
10.5824,um,Surface,1,364,
3.9933,um,Surface,1,365,
4.24845,um,Surface,1,366,
7.08098,um,Surface,1,367,
4.54919,um,Surface,1,368,
5.97025,um,Surface,1,369,
6.62392,um,Surface,1,370,
5.16217,um,Surface,1,371,
4.20131,um,Surface,1,372,
7.19621,um,Surface,1,373,
4.5095,um,Surface,1,374,
6.8151,um,Surface,1,375,
8.83075,um,Surface,1,376,
8.48131,um,Surface,1,377,
4.13079,um,Surface,1,378,
5.77243,um,Surface,1,379,
4.98737,um,Surface,1,380,
12.1296,um,Surface,1,381,
9.52186,um,Surface,1,382,
4.10402,um,Surface,1,383,
5.95032,um,Surface,1,384,
4.71889,um,Surface,1,385,
3.17906,um,Surface,1,386,
10.0939,um,Surface,1,387,
7.64204,um,Surface,1,388,
9.97163,um,Surface,1,389,
4.3065,um,Surface,1,390,
9.2162,um,Surface,1,391,
5.66015,um,Surface,1,392,
6.12486,um,Surface,1,393,
5.82081,um,Surface,1,394,
4.6688,um,Surface,1,395,
4.28239,um,Surface,1,396,
10.3977,um,Surface,1,397,
3.89914,um,Surface,1,398,
9.52248,um,Surface,1,399,
3.00775,um,Surface,1,400,
4.55249,um,Surface,1,401,
4.19439,um,Surface,1,402,
7.85538,um,Surface,1,403,
7.67276,um,Surface,1,404,
3.50443,um,Surface,1,405,
5.92412,um,Surface,1,406,
7.91742,um,Surface,1,407,
4.48858,um,Surface,1,408,
4.71276,um,Surface,1,409,
15.7976,um,Surface,1,410,
4.34947,um,Surface,1,411,
9.47778,um,Surface,1,412,
3.57702,um,Surface,1,413,
11.1726,um,Surface,1,414,
3.37727,um,Surface,1,415,
3.83544,um,Surface,1,416,
6.02553,um,Surface,1,417,
5.40297,um,Surface,1,418,
3.84315,um,Surface,1,419,
9.25949,um,Surface,1,420,
6.97179,um,Surface,1,421,
5.53749,um,Surface,1,422,
7.25441,um,Surface,1,423,
10.4338,um,Surface,1,424,
5.5984,um,Surface,1,425,
6.95504,um,Surface,1,426,
4.05321,um,Surface,1,427,
