
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.0463982,,Surface,1,238,
0.0273989,,Surface,1,239,
0.0172475,,Surface,1,240,
0.0382766,,Surface,1,241,
0.102226,,Surface,1,242,
0.0505971,,Surface,1,243,
0.0288494,,Surface,1,244,
0.0385243,,Surface,1,245,
0.0606684,,Surface,1,246,
0.0631537,,Surface,1,247,
0.050799,,Surface,1,248,
0.0297165,,Surface,1,249,
0.0320199,,Surface,1,250,
0.0160373,,Surface,1,251,
0.0110044,,Surface,1,252,
0.0162491,,Surface,1,253,
0.0200775,,Surface,1,254,
0.0519458,,Surface,1,255,
0.0352778,,Surface,1,256,
0.0815967,,Surface,1,257,
0.00780463,,Surface,1,258,
0.0550799,,Surface,1,259,
0.0123927,,Surface,1,260,
0.035488,,Surface,1,261,
0.0246004,,Surface,1,262,
0.016015,,Surface,1,263,
0.0388289,,Surface,1,264,
0.0556279,,Surface,1,265,
0.0680021,,Surface,1,266,
0.0107154,,Surface,1,267,
0.0316999,,Surface,1,268,
0.0193765,,Surface,1,269,
0.0269996,,Surface,1,270,
0.0275852,,Surface,1,271,
0.0391954,,Surface,1,272,
0.0603558,,Surface,1,273,
0.0184518,,Surface,1,274,
0.0382526,,Surface,1,275,
0.0300695,,Surface,1,276,
0.0394878,,Surface,1,277,
0.0155701,,Surface,1,278,
0.037337,,Surface,1,279,
0.031662,,Surface,1,280,
0.0244028,,Surface,1,281,
0.0296747,,Surface,1,282,
0.0641882,,Surface,1,283,
0.0274034,,Surface,1,284,
0.0550988,,Surface,1,285,
0.0298292,,Surface,1,286,
0.0811778,,Surface,1,287,
0.0253261,,Surface,1,288,
0.0448528,,Surface,1,289,
0.0281622,,Surface,1,290,
0.0150667,,Surface,1,291,
0.0145536,,Surface,1,292,
0.0310611,,Surface,1,293,
0.00833628,,Surface,1,294,
0.0375173,,Surface,1,295,
0.0534109,,Surface,1,296,
0.0521879,,Surface,1,297,
0.0653412,,Surface,1,298,
0.0253459,,Surface,1,299,
0.0646787,,Surface,1,300,
0.0347943,,Surface,1,301,
0.0571824,,Surface,1,302,
0.0193258,,Surface,1,303,
0.0356347,,Surface,1,304,
0.0065704,,Surface,1,305,
0.04824,,Surface,1,306,
0.0518278,,Surface,1,307,
0.0196456,,Surface,1,308,
0.0451202,,Surface,1,309,
0.0450719,,Surface,1,310,
0.00805012,,Surface,1,311,
0.0261453,,Surface,1,312,
0.105088,,Surface,1,313,
0.0177672,,Surface,1,314,
0.0295739,,Surface,1,315,
0.035025,,Surface,1,316,
0.0287424,,Surface,1,317,
0.0219753,,Surface,1,318,
0.0207566,,Surface,1,319,
0.0473712,,Surface,1,320,
0.067472,,Surface,1,321,
0.0578675,,Surface,1,322,
0.0373599,,Surface,1,323,
0.0116252,,Surface,1,324,
0.0341085,,Surface,1,325,
0.0292171,,Surface,1,326,
0.0113972,,Surface,1,327,
0.0308764,,Surface,1,328,
0.0424616,,Surface,1,329,
0.0369812,,Surface,1,330,
0.0256475,,Surface,1,331,
0.0766504,,Surface,1,332,
0.0361328,,Surface,1,333,
0.105984,,Surface,1,334,
0.0443983,,Surface,1,335,
0.0280922,,Surface,1,336,
0.0306982,,Surface,1,337,
0.0498271,,Surface,1,338,
0.0241951,,Surface,1,339,
0.0404135,,Surface,1,340,
0.0793225,,Surface,1,341,
0.0630118,,Surface,1,342,
0.0406571,,Surface,1,343,
0.035971,,Surface,1,344,
0.0250057,,Surface,1,345,
0.00906172,,Surface,1,346,
0.0557709,,Surface,1,347,
0.0372705,,Surface,1,348,
0.0351153,,Surface,1,349,
0.0305214,,Surface,1,350,
0.0245316,,Surface,1,351,
0.0580795,,Surface,1,352,
0.012202,,Surface,1,353,
0.00901346,,Surface,1,354,
0.0104654,,Surface,1,355,
0.0413577,,Surface,1,356,
0.0279442,,Surface,1,357,
0.0695497,,Surface,1,358,
0.0172482,,Surface,1,359,
0.0172381,,Surface,1,360,
0.0182885,,Surface,1,361,
0.0271007,,Surface,1,362,
0.0189001,,Surface,1,363,
0.0103634,,Surface,1,364,
0.0665979,,Surface,1,365,
0.0243535,,Surface,1,366,
0.0114658,,Surface,1,367,
0.0402917,,Surface,1,368,
0.0778878,,Surface,1,369,
0.0146774,,Surface,1,370,
0.019179,,Surface,1,371,
0.0408795,,Surface,1,372,
0.0138909,,Surface,1,373,
0.0180129,,Surface,1,374,
0.0286145,,Surface,1,375,
0.0329313,,Surface,1,376,
0.0218491,,Surface,1,377,
0.0427947,,Surface,1,378,
0.0252738,,Surface,1,379,
0.0582831,,Surface,1,380,
0.00935966,,Surface,1,381,
0.0424427,,Surface,1,382,
0.0591641,,Surface,1,383,
0.0391412,,Surface,1,384,
0.0386782,,Surface,1,385,
0.068184,,Surface,1,386,
0.00851669,,Surface,1,387,
0.0113364,,Surface,1,388,
0.00756238,,Surface,1,389,
0.0351551,,Surface,1,390,
0.0243169,,Surface,1,391,
0.0264402,,Surface,1,392,
0.0155062,,Surface,1,393,
0.0356836,,Surface,1,394,
0.046568,,Surface,1,395,
0.0411787,,Surface,1,396,
0.00650729,,Surface,1,397,
0.064409,,Surface,1,398,
0.0518666,,Surface,1,399,
0.0639911,,Surface,1,400,
0.0360053,,Surface,1,401,
0.0530296,,Surface,1,402,
0.0286009,,Surface,1,403,
0.0224087,,Surface,1,404,
0.0406302,,Surface,1,405,
0.022827,,Surface,1,406,
0.0378992,,Surface,1,407,
0.0249672,,Surface,1,408,
0.0404203,,Surface,1,409,
0.0121969,,Surface,1,410,
0.0486231,,Surface,1,411,
0.0257329,,Surface,1,412,
0.0424415,,Surface,1,413,
0.00890505,,Surface,1,414,
0.0453582,,Surface,1,415,
0.0319603,,Surface,1,416,
0.060554,,Surface,1,417,
0.0231383,,Surface,1,418,
0.0338165,,Surface,1,419,
0.0138141,,Surface,1,420,
0.0378778,,Surface,1,421,
0.0255347,,Surface,1,422,
0.0326483,,Surface,1,423,
0.0560419,,Surface,1,424,
0.0276886,,Surface,1,425,
0.00860498,,Surface,1,426,
0.0216493,,Surface,1,427,
