
Intensity Center Ch=4 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
132,,Surface,4,Image 1,1,238,
144,,Surface,4,Image 1,1,239,
157,,Surface,4,Image 1,1,240,
177,,Surface,4,Image 1,1,241,
155,,Surface,4,Image 1,1,242,
140,,Surface,4,Image 1,1,243,
157,,Surface,4,Image 1,1,244,
134,,Surface,4,Image 1,1,245,
164,,Surface,4,Image 1,1,246,
158,,Surface,4,Image 1,1,247,
164,,Surface,4,Image 1,1,248,
124,,Surface,4,Image 1,1,249,
154,,Surface,4,Image 1,1,250,
157,,Surface,4,Image 1,1,251,
143,,Surface,4,Image 1,1,252,
165,,Surface,4,Image 1,1,253,
123,,Surface,4,Image 1,1,254,
133,,Surface,4,Image 1,1,255,
170,,Surface,4,Image 1,1,256,
183,,Surface,4,Image 1,1,257,
139,,Surface,4,Image 1,1,258,
192,,Surface,4,Image 1,1,259,
149,,Surface,4,Image 1,1,260,
170,,Surface,4,Image 1,1,261,
175,,Surface,4,Image 1,1,262,
163,,Surface,4,Image 1,1,263,
143,,Surface,4,Image 1,1,264,
173,,Surface,4,Image 1,1,265,
156,,Surface,4,Image 1,1,266,
183,,Surface,4,Image 1,1,267,
142,,Surface,4,Image 1,1,268,
154,,Surface,4,Image 1,1,269,
161,,Surface,4,Image 1,1,270,
112,,Surface,4,Image 1,1,271,
172,,Surface,4,Image 1,1,272,
139,,Surface,4,Image 1,1,273,
154,,Surface,4,Image 1,1,274,
144,,Surface,4,Image 1,1,275,
149,,Surface,4,Image 1,1,276,
126,,Surface,4,Image 1,1,277,
147,,Surface,4,Image 1,1,278,
155,,Surface,4,Image 1,1,279,
146,,Surface,4,Image 1,1,280,
154,,Surface,4,Image 1,1,281,
148,,Surface,4,Image 1,1,282,
128,,Surface,4,Image 1,1,283,
147,,Surface,4,Image 1,1,284,
148,,Surface,4,Image 1,1,285,
155,,Surface,4,Image 1,1,286,
165,,Surface,4,Image 1,1,287,
157,,Surface,4,Image 1,1,288,
132,,Surface,4,Image 1,1,289,
117,,Surface,4,Image 1,1,290,
115,,Surface,4,Image 1,1,291,
152,,Surface,4,Image 1,1,292,
157,,Surface,4,Image 1,1,293,
143,,Surface,4,Image 1,1,294,
152,,Surface,4,Image 1,1,295,
166,,Surface,4,Image 1,1,296,
165,,Surface,4,Image 1,1,297,
164,,Surface,4,Image 1,1,298,
154,,Surface,4,Image 1,1,299,
180,,Surface,4,Image 1,1,300,
179,,Surface,4,Image 1,1,301,
165,,Surface,4,Image 1,1,302,
155,,Surface,4,Image 1,1,303,
170,,Surface,4,Image 1,1,304,
134,,Surface,4,Image 1,1,305,
149,,Surface,4,Image 1,1,306,
148,,Surface,4,Image 1,1,307,
168,,Surface,4,Image 1,1,308,
144,,Surface,4,Image 1,1,309,
152,,Surface,4,Image 1,1,310,
156,,Surface,4,Image 1,1,311,
163,,Surface,4,Image 1,1,312,
128,,Surface,4,Image 1,1,313,
133,,Surface,4,Image 1,1,314,
133,,Surface,4,Image 1,1,315,
121,,Surface,4,Image 1,1,316,
147,,Surface,4,Image 1,1,317,
152,,Surface,4,Image 1,1,318,
133,,Surface,4,Image 1,1,319,
146,,Surface,4,Image 1,1,320,
148,,Surface,4,Image 1,1,321,
136,,Surface,4,Image 1,1,322,
120,,Surface,4,Image 1,1,323,
156,,Surface,4,Image 1,1,324,
148,,Surface,4,Image 1,1,325,
156,,Surface,4,Image 1,1,326,
181,,Surface,4,Image 1,1,327,
149,,Surface,4,Image 1,1,328,
123,,Surface,4,Image 1,1,329,
169,,Surface,4,Image 1,1,330,
151,,Surface,4,Image 1,1,331,
162,,Surface,4,Image 1,1,332,
165,,Surface,4,Image 1,1,333,
164,,Surface,4,Image 1,1,334,
164,,Surface,4,Image 1,1,335,
141,,Surface,4,Image 1,1,336,
151,,Surface,4,Image 1,1,337,
172,,Surface,4,Image 1,1,338,
152,,Surface,4,Image 1,1,339,
142,,Surface,4,Image 1,1,340,
159,,Surface,4,Image 1,1,341,
123,,Surface,4,Image 1,1,342,
160,,Surface,4,Image 1,1,343,
