
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
48,,Surface,3,Image 1,1,238,
41,,Surface,3,Image 1,1,239,
42,,Surface,3,Image 1,1,240,
27,,Surface,3,Image 1,1,241,
42,,Surface,3,Image 1,1,242,
36,,Surface,3,Image 1,1,243,
44,,Surface,3,Image 1,1,244,
60,,Surface,3,Image 1,1,245,
34,,Surface,3,Image 1,1,246,
14,,Surface,3,Image 1,1,247,
115,,Surface,3,Image 1,1,248,
21,,Surface,3,Image 1,1,249,
10,,Surface,3,Image 1,1,250,
46,,Surface,3,Image 1,1,251,
45,,Surface,3,Image 1,1,252,
51,,Surface,3,Image 1,1,253,
45,,Surface,3,Image 1,1,254,
45,,Surface,3,Image 1,1,255,
83,,Surface,3,Image 1,1,256,
23,,Surface,3,Image 1,1,257,
73,,Surface,3,Image 1,1,258,
22,,Surface,3,Image 1,1,259,
59,,Surface,3,Image 1,1,260,
26,,Surface,3,Image 1,1,261,
34,,Surface,3,Image 1,1,262,
38,,Surface,3,Image 1,1,263,
43,,Surface,3,Image 1,1,264,
71,,Surface,3,Image 1,1,265,
24,,Surface,3,Image 1,1,266,
70,,Surface,3,Image 1,1,267,
87,,Surface,3,Image 1,1,268,
49,,Surface,3,Image 1,1,269,
56,,Surface,3,Image 1,1,270,
66,,Surface,3,Image 1,1,271,
45,,Surface,3,Image 1,1,272,
31,,Surface,3,Image 1,1,273,
28,,Surface,3,Image 1,1,274,
21,,Surface,3,Image 1,1,275,
44,,Surface,3,Image 1,1,276,
38,,Surface,3,Image 1,1,277,
43,,Surface,3,Image 1,1,278,
43,,Surface,3,Image 1,1,279,
101,,Surface,3,Image 1,1,280,
35,,Surface,3,Image 1,1,281,
16,,Surface,3,Image 1,1,282,
42,,Surface,3,Image 1,1,283,
23,,Surface,3,Image 1,1,284,
55,,Surface,3,Image 1,1,285,
28,,Surface,3,Image 1,1,286,
12,,Surface,3,Image 1,1,287,
21,,Surface,3,Image 1,1,288,
38,,Surface,3,Image 1,1,289,
38,,Surface,3,Image 1,1,290,
22,,Surface,3,Image 1,1,291,
34,,Surface,3,Image 1,1,292,
20,,Surface,3,Image 1,1,293,
20,,Surface,3,Image 1,1,294,
88,,Surface,3,Image 1,1,295,
38,,Surface,3,Image 1,1,296,
9,,Surface,3,Image 1,1,297,
18,,Surface,3,Image 1,1,298,
19,,Surface,3,Image 1,1,299,
38,,Surface,3,Image 1,1,300,
30,,Surface,3,Image 1,1,301,
18,,Surface,3,Image 1,1,302,
60,,Surface,3,Image 1,1,303,
24,,Surface,3,Image 1,1,304,
101,,Surface,3,Image 1,1,305,
23,,Surface,3,Image 1,1,306,
18,,Surface,3,Image 1,1,307,
19,,Surface,3,Image 1,1,308,
27,,Surface,3,Image 1,1,309,
43,,Surface,3,Image 1,1,310,
26,,Surface,3,Image 1,1,311,
63,,Surface,3,Image 1,1,312,
14,,Surface,3,Image 1,1,313,
48,,Surface,3,Image 1,1,314,
43,,Surface,3,Image 1,1,315,
44,,Surface,3,Image 1,1,316,
40,,Surface,3,Image 1,1,317,
89,,Surface,3,Image 1,1,318,
14,,Surface,3,Image 1,1,319,
26,,Surface,3,Image 1,1,320,
15,,Surface,3,Image 1,1,321,
20,,Surface,3,Image 1,1,322,
49,,Surface,3,Image 1,1,323,
22,,Surface,3,Image 1,1,324,
24,,Surface,3,Image 1,1,325,
29,,Surface,3,Image 1,1,326,
28,,Surface,3,Image 1,1,327,
41,,Surface,3,Image 1,1,328,
69,,Surface,3,Image 1,1,329,
46,,Surface,3,Image 1,1,330,
18,,Surface,3,Image 1,1,331,
40,,Surface,3,Image 1,1,332,
9,,Surface,3,Image 1,1,333,
37,,Surface,3,Image 1,1,334,
59,,Surface,3,Image 1,1,335,
56,,Surface,3,Image 1,1,336,
28,,Surface,3,Image 1,1,337,
27,,Surface,3,Image 1,1,338,
32,,Surface,3,Image 1,1,339,
78,,Surface,3,Image 1,1,340,
8,,Surface,3,Image 1,1,341,
58,,Surface,3,Image 1,1,342,
37,,Surface,3,Image 1,1,343,
38,,Surface,3,Image 1,1,344,
106,,Surface,3,Image 1,1,345,
74,,Surface,3,Image 1,1,346,
24,,Surface,3,Image 1,1,347,
36,,Surface,3,Image 1,1,348,
11,,Surface,3,Image 1,1,349,
18,,Surface,3,Image 1,1,350,
22,,Surface,3,Image 1,1,351,
34,,Surface,3,Image 1,1,352,
82,,Surface,3,Image 1,1,353,
48,,Surface,3,Image 1,1,354,
51,,Surface,3,Image 1,1,355,
