
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
78.9944,,Surface,6,Image 1,1,238,
69.8571,,Surface,6,Image 1,1,239,
51.949,,Surface,6,Image 1,1,240,
44.8939,,Surface,6,Image 1,1,241,
37.0625,,Surface,6,Image 1,1,242,
41.0536,,Surface,6,Image 1,1,243,
35.3909,,Surface,6,Image 1,1,244,
57.5636,,Surface,6,Image 1,1,245,
49.2136,,Surface,6,Image 1,1,246,
40.9432,,Surface,6,Image 1,1,247,
42.3861,,Surface,6,Image 1,1,248,
63.3409,,Surface,6,Image 1,1,249,
47.4821,,Surface,6,Image 1,1,250,
80.6201,,Surface,6,Image 1,1,251,
46.7649,,Surface,6,Image 1,1,252,
58.778,,Surface,6,Image 1,1,253,
53.3705,,Surface,6,Image 1,1,254,
44.1977,,Surface,6,Image 1,1,255,
39.8667,,Surface,6,Image 1,1,256,
47.7609,,Surface,6,Image 1,1,257,
37.9848,,Surface,6,Image 1,1,258,
51.0341,,Surface,6,Image 1,1,259,
47.9122,,Surface,6,Image 1,1,260,
62.4363,,Surface,6,Image 1,1,261,
42.7154,,Surface,6,Image 1,1,262,
66.02,,Surface,6,Image 1,1,263,
50.5492,,Surface,6,Image 1,1,264,
35,,Surface,6,Image 1,1,265,
57.0917,,Surface,6,Image 1,1,266,
44.4585,,Surface,6,Image 1,1,267,
39.0634,,Surface,6,Image 1,1,268,
66.9032,,Surface,6,Image 1,1,269,
41.2411,,Surface,6,Image 1,1,270,
43.1627,,Surface,6,Image 1,1,271,
80.4151,,Surface,6,Image 1,1,272,
43.3807,,Surface,6,Image 1,1,273,
46.2664,,Surface,6,Image 1,1,274,
43.0606,,Surface,6,Image 1,1,275,
57.2863,,Surface,6,Image 1,1,276,
46.5,,Surface,6,Image 1,1,277,
37.4338,,Surface,6,Image 1,1,278,
47.8611,,Surface,6,Image 1,1,279,
40.891,,Surface,6,Image 1,1,280,
53.5946,,Surface,6,Image 1,1,281,
46.25,,Surface,6,Image 1,1,282,
39.4104,,Surface,6,Image 1,1,283,
44.3169,,Surface,6,Image 1,1,284,
35.8986,,Surface,6,Image 1,1,285,
65.1875,,Surface,6,Image 1,1,286,
42.1797,,Surface,6,Image 1,1,287,
39.7873,,Surface,6,Image 1,1,288,
38.5523,,Surface,6,Image 1,1,289,
41.5296,,Surface,6,Image 1,1,290,
37.6929,,Surface,6,Image 1,1,291,
62.004,,Surface,6,Image 1,1,292,
37.6908,,Surface,6,Image 1,1,293,
47.7851,,Surface,6,Image 1,1,294,
39.9559,,Surface,6,Image 1,1,295,
47.6071,,Surface,6,Image 1,1,296,
37,,Surface,6,Image 1,1,297,
50.5761,,Surface,6,Image 1,1,298,
51.1463,,Surface,6,Image 1,1,299,
51.3676,,Surface,6,Image 1,1,300,
63.882,,Surface,6,Image 1,1,301,
35.4479,,Surface,6,Image 1,1,302,
57.0072,,Surface,6,Image 1,1,303,
37.64,,Surface,6,Image 1,1,304,
38.7446,,Surface,6,Image 1,1,305,
40.1838,,Surface,6,Image 1,1,306,
37.8469,,Surface,6,Image 1,1,307,
42.6487,,Surface,6,Image 1,1,308,
48.0859,,Surface,6,Image 1,1,309,
39.8807,,Surface,6,Image 1,1,310,
72.7679,,Surface,6,Image 1,1,311,
51.9788,,Surface,6,Image 1,1,312,
43.07,,Surface,6,Image 1,1,313,
45.1523,,Surface,6,Image 1,1,314,
43.0707,,Surface,6,Image 1,1,315,
39.6653,,Surface,6,Image 1,1,316,
39.8961,,Surface,6,Image 1,1,317,
39.0323,,Surface,6,Image 1,1,318,
38.8878,,Surface,6,Image 1,1,319,
33.4571,,Surface,6,Image 1,1,320,
38.6121,,Surface,6,Image 1,1,321,
46.8289,,Surface,6,Image 1,1,322,
44.5801,,Surface,6,Image 1,1,323,
45.5541,,Surface,6,Image 1,1,324,
56,,Surface,6,Image 1,1,325,
34.7824,,Surface,6,Image 1,1,326,
69.1497,,Surface,6,Image 1,1,327,
37.2256,,Surface,6,Image 1,1,328,
50.5159,,Surface,6,Image 1,1,329,
48.4194,,Surface,6,Image 1,1,330,
47.7305,,Surface,6,Image 1,1,331,
39.0735,,Surface,6,Image 1,1,332,
48.6694,,Surface,6,Image 1,1,333,
43.0417,,Surface,6,Image 1,1,334,
64.6855,,Surface,6,Image 1,1,335,
57.3156,,Surface,6,Image 1,1,336,
75.9478,,Surface,6,Image 1,1,337,
45.4135,,Surface,6,Image 1,1,338,
50.8198,,Surface,6,Image 1,1,339,
40.3182,,Surface,6,Image 1,1,340,
42.3448,,Surface,6,Image 1,1,341,
41.6548,,Surface,6,Image 1,1,342,
58.8059,,Surface,6,Image 1,1,343,
49.7174,,Surface,6,Image 1,1,344,
55.0808,,Surface,6,Image 1,1,345,
96.7775,,Surface,6,Image 1,1,346,
53.2083,,Surface,6,Image 1,1,347,
45.6754,,Surface,6,Image 1,1,348,
43.8409,,Surface,6,Image 1,1,349,
47.125,,Surface,6,Image 1,1,350,
38.38,,Surface,6,Image 1,1,351,
38.7326,,Surface,6,Image 1,1,352,
39.6855,,Surface,6,Image 1,1,353,
34.571,,Surface,6,Image 1,1,354,
69.5239,,Surface,6,Image 1,1,355,
40.3929,,Surface,6,Image 1,1,356,
69.2128,,Surface,6,Image 1,1,357,
44.1,,Surface,6,Image 1,1,358,
58.1782,,Surface,6,Image 1,1,359,
54.193,,Surface,6,Image 1,1,360,
37.1472,,Surface,6,Image 1,1,361,
48.5921,,Surface,6,Image 1,1,362,
52.9048,,Surface,6,Image 1,1,363,
45.0969,,Surface,6,Image 1,1,364,
43.1912,,Surface,6,Image 1,1,365,
39.1415,,Surface,6,Image 1,1,366,
71.8168,,Surface,6,Image 1,1,367,
40.7347,,Surface,6,Image 1,1,368,
34.163,,Surface,6,Image 1,1,369,
80.0174,,Surface,6,Image 1,1,370,
89.2033,,Surface,6,Image 1,1,371,
45.0341,,Surface,6,Image 1,1,372,
111.363,,Surface,6,Image 1,1,373,
67.3611,,Surface,6,Image 1,1,374,
73.0951,,Surface,6,Image 1,1,375,
54.1557,,Surface,6,Image 1,1,376,
39.994,,Surface,6,Image 1,1,377,
45.5298,,Surface,6,Image 1,1,378,
56.0461,,Surface,6,Image 1,1,379,
45.1702,,Surface,6,Image 1,1,380,
59.7144,,Surface,6,Image 1,1,381,
43.9613,,Surface,6,Image 1,1,382,
53.4527,,Surface,6,Image 1,1,383,
40.0809,,Surface,6,Image 1,1,384,
47.7356,,Surface,6,Image 1,1,385,
40.71,,Surface,6,Image 1,1,386,
62.4616,,Surface,6,Image 1,1,387,
59.5688,,Surface,6,Image 1,1,388,
86.8892,,Surface,6,Image 1,1,389,
50.9149,,Surface,6,Image 1,1,390,
51.8463,,Surface,6,Image 1,1,391,
42.3801,,Surface,6,Image 1,1,392,
65.9706,,Surface,6,Image 1,1,393,
64.4143,,Surface,6,Image 1,1,394,
43.8125,,Surface,6,Image 1,1,395,
43.7784,,Surface,6,Image 1,1,396,
59.5617,,Surface,6,Image 1,1,397,
38.4375,,Surface,6,Image 1,1,398,
48.6881,,Surface,6,Image 1,1,399,
41.5313,,Surface,6,Image 1,1,400,
51.049,,Surface,6,Image 1,1,401,
45.0449,,Surface,6,Image 1,1,402,
49.4086,,Surface,6,Image 1,1,403,
48.3877,,Surface,6,Image 1,1,404,
43.1691,,Surface,6,Image 1,1,405,
44.5941,,Surface,6,Image 1,1,406,
57.525,,Surface,6,Image 1,1,407,
51.2982,,Surface,6,Image 1,1,408,
38.22,,Surface,6,Image 1,1,409,
63.6697,,Surface,6,Image 1,1,410,
39.1037,,Surface,6,Image 1,1,411,
58.6195,,Surface,6,Image 1,1,412,
47.8857,,Surface,6,Image 1,1,413,
79.003,,Surface,6,Image 1,1,414,
46.4677,,Surface,6,Image 1,1,415,
47.6548,,Surface,6,Image 1,1,416,
41.6754,,Surface,6,Image 1,1,417,
48.0135,,Surface,6,Image 1,1,418,
39.1463,,Surface,6,Image 1,1,419,
59.3899,,Surface,6,Image 1,1,420,
46.0545,,Surface,6,Image 1,1,421,
60.4831,,Surface,6,Image 1,1,422,
42.2753,,Surface,6,Image 1,1,423,
40.325,,Surface,6,Image 1,1,424,
76.4583,,Surface,6,Image 1,1,425,
61.3662,,Surface,6,Image 1,1,426,
69.025,,Surface,6,Image 1,1,427,
