
Intensity Min Ch=5 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
86,,Surface,5,Image 1,1,238,
61,,Surface,5,Image 1,1,239,
42,,Surface,5,Image 1,1,240,
48,,Surface,5,Image 1,1,241,
74,,Surface,5,Image 1,1,242,
45,,Surface,5,Image 1,1,243,
40,,Surface,5,Image 1,1,244,
44,,Surface,5,Image 1,1,245,
38,,Surface,5,Image 1,1,246,
63,,Surface,5,Image 1,1,247,
48,,Surface,5,Image 1,1,248,
25,,Surface,5,Image 1,1,249,
57,,Surface,5,Image 1,1,250,
52,,Surface,5,Image 1,1,251,
65,,Surface,5,Image 1,1,252,
63,,Surface,5,Image 1,1,253,
57,,Surface,5,Image 1,1,254,
47,,Surface,5,Image 1,1,255,
57,,Surface,5,Image 1,1,256,
61,,Surface,5,Image 1,1,257,
54,,Surface,5,Image 1,1,258,
60,,Surface,5,Image 1,1,259,
36,,Surface,5,Image 1,1,260,
36,,Surface,5,Image 1,1,261,
58,,Surface,5,Image 1,1,262,
61,,Surface,5,Image 1,1,263,
48,,Surface,5,Image 1,1,264,
57,,Surface,5,Image 1,1,265,
77,,Surface,5,Image 1,1,266,
39,,Surface,5,Image 1,1,267,
45,,Surface,5,Image 1,1,268,
49,,Surface,5,Image 1,1,269,
60,,Surface,5,Image 1,1,270,
46,,Surface,5,Image 1,1,271,
35,,Surface,5,Image 1,1,272,
59,,Surface,5,Image 1,1,273,
31,,Surface,5,Image 1,1,274,
67,,Surface,5,Image 1,1,275,
46,,Surface,5,Image 1,1,276,
70,,Surface,5,Image 1,1,277,
53,,Surface,5,Image 1,1,278,
62,,Surface,5,Image 1,1,279,
68,,Surface,5,Image 1,1,280,
61,,Surface,5,Image 1,1,281,
60,,Surface,5,Image 1,1,282,
57,,Surface,5,Image 1,1,283,
53,,Surface,5,Image 1,1,284,
35,,Surface,5,Image 1,1,285,
61,,Surface,5,Image 1,1,286,
68,,Surface,5,Image 1,1,287,
57,,Surface,5,Image 1,1,288,
54,,Surface,5,Image 1,1,289,
60,,Surface,5,Image 1,1,290,
67,,Surface,5,Image 1,1,291,
71,,Surface,5,Image 1,1,292,
55,,Surface,5,Image 1,1,293,
30,,Surface,5,Image 1,1,294,
44,,Surface,5,Image 1,1,295,
72,,Surface,5,Image 1,1,296,
56,,Surface,5,Image 1,1,297,
81,,Surface,5,Image 1,1,298,
63,,Surface,5,Image 1,1,299,
56,,Surface,5,Image 1,1,300,
61,,Surface,5,Image 1,1,301,
73,,Surface,5,Image 1,1,302,
