
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
76.1319,,Surface,6,Image 1,1,238,
67.0812,,Surface,6,Image 1,1,239,
30.7432,,Surface,6,Image 1,1,240,
26.2552,,Surface,6,Image 1,1,241,
18.9653,,Surface,6,Image 1,1,242,
17.5198,,Surface,6,Image 1,1,243,
12.3477,,Surface,6,Image 1,1,244,
39.0752,,Surface,6,Image 1,1,245,
39.6562,,Surface,6,Image 1,1,246,
23.2356,,Surface,6,Image 1,1,247,
48.3498,,Surface,6,Image 1,1,248,
50.2697,,Surface,6,Image 1,1,249,
39.7357,,Surface,6,Image 1,1,250,
69.9893,,Surface,6,Image 1,1,251,
29.9066,,Surface,6,Image 1,1,252,
41.86,,Surface,6,Image 1,1,253,
32.7769,,Surface,6,Image 1,1,254,
20.7901,,Surface,6,Image 1,1,255,
21.7742,,Surface,6,Image 1,1,256,
26.368,,Surface,6,Image 1,1,257,
17.3794,,Surface,6,Image 1,1,258,
38.5603,,Surface,6,Image 1,1,259,
32.0643,,Surface,6,Image 1,1,260,
63.4419,,Surface,6,Image 1,1,261,
21.4597,,Surface,6,Image 1,1,262,
44.6222,,Surface,6,Image 1,1,263,
31.2559,,Surface,6,Image 1,1,264,
20.2892,,Surface,6,Image 1,1,265,
57.3687,,Surface,6,Image 1,1,266,
29.2951,,Surface,6,Image 1,1,267,
23.1636,,Surface,6,Image 1,1,268,
53.6654,,Surface,6,Image 1,1,269,
19.0096,,Surface,6,Image 1,1,270,
26.0973,,Surface,6,Image 1,1,271,
90.8221,,Surface,6,Image 1,1,272,
23.5825,,Surface,6,Image 1,1,273,
28.4234,,Surface,6,Image 1,1,274,
23.5728,,Surface,6,Image 1,1,275,
35.2708,,Surface,6,Image 1,1,276,
26.7305,,Surface,6,Image 1,1,277,
20.2156,,Surface,6,Image 1,1,278,
25.571,,Surface,6,Image 1,1,279,
18.8144,,Surface,6,Image 1,1,280,
31.5005,,Surface,6,Image 1,1,281,
27.2465,,Surface,6,Image 1,1,282,
20.1353,,Surface,6,Image 1,1,283,
25.8403,,Surface,6,Image 1,1,284,
15.0556,,Surface,6,Image 1,1,285,
59.4176,,Surface,6,Image 1,1,286,
19.507,,Surface,6,Image 1,1,287,
16.6788,,Surface,6,Image 1,1,288,
19.8984,,Surface,6,Image 1,1,289,
25.8017,,Surface,6,Image 1,1,290,
18.7561,,Surface,6,Image 1,1,291,
45.9818,,Surface,6,Image 1,1,292,
14.99,,Surface,6,Image 1,1,293,
19.9027,,Surface,6,Image 1,1,294,
21.7487,,Surface,6,Image 1,1,295,
39.1243,,Surface,6,Image 1,1,296,
19.2881,,Surface,6,Image 1,1,297,
29.9907,,Surface,6,Image 1,1,298,
35.9456,,Surface,6,Image 1,1,299,
51.3474,,Surface,6,Image 1,1,300,
51.5129,,Surface,6,Image 1,1,301,
12.1491,,Surface,6,Image 1,1,302,
37.6953,,Surface,6,Image 1,1,303,
13.4298,,Surface,6,Image 1,1,304,
19.0703,,Surface,6,Image 1,1,305,
21.3146,,Surface,6,Image 1,1,306,
17.7829,,Surface,6,Image 1,1,307,
20.4372,,Surface,6,Image 1,1,308,
39.7284,,Surface,6,Image 1,1,309,
17.552,,Surface,6,Image 1,1,310,
66.8326,,Surface,6,Image 1,1,311,
29.7543,,Surface,6,Image 1,1,312,
22.6231,,Surface,6,Image 1,1,313,
26.841,,Surface,6,Image 1,1,314,
26.2997,,Surface,6,Image 1,1,315,
