
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
25130,,Surface,4,Image 1,1,238,
32660,,Surface,4,Image 1,1,239,
101674,,Surface,4,Image 1,1,240,
22049,,Surface,4,Image 1,1,241,
26639,,Surface,4,Image 1,1,242,
35348,,Surface,4,Image 1,1,243,
36103,,Surface,4,Image 1,1,244,
75386,,Surface,4,Image 1,1,245,
36909,,Surface,4,Image 1,1,246,
13903,,Surface,4,Image 1,1,247,
64073,,Surface,4,Image 1,1,248,
35592,,Surface,4,Image 1,1,249,
35418,,Surface,4,Image 1,1,250,
65210,,Surface,4,Image 1,1,251,
61211,,Surface,4,Image 1,1,252,
73803,,Surface,4,Image 1,1,253,
47660,,Surface,4,Image 1,1,254,
26707,,Surface,4,Image 1,1,255,
48553,,Surface,4,Image 1,1,256,
14671,,Surface,4,Image 1,1,257,
102205,,Surface,4,Image 1,1,258,
14689,,Surface,4,Image 1,1,259,
131170,,Surface,4,Image 1,1,260,
32890,,Surface,4,Image 1,1,261,
43547,,Surface,4,Image 1,1,262,
65708,,Surface,4,Image 1,1,263,
40967,,Surface,4,Image 1,1,264,
30423,,Surface,4,Image 1,1,265,
17889,,Surface,4,Image 1,1,266,
183790,,Surface,4,Image 1,1,267,
44540,,Surface,4,Image 1,1,268,
87537,,Surface,4,Image 1,1,269,
70984,,Surface,4,Image 1,1,270,
65365,,Surface,4,Image 1,1,271,
33113,,Surface,4,Image 1,1,272,
26876,,Surface,4,Image 1,1,273,
39276,,Surface,4,Image 1,1,274,
20244,,Surface,4,Image 1,1,275,
78561,,Surface,4,Image 1,1,276,
24367,,Surface,4,Image 1,1,277,
103468,,Surface,4,Image 1,1,278,
43281,,Surface,4,Image 1,1,279,
24078,,Surface,4,Image 1,1,280,
46236,,Surface,4,Image 1,1,281,
34982,,Surface,4,Image 1,1,282,
31566,,Surface,4,Image 1,1,283,
79464,,Surface,4,Image 1,1,284,
43067,,Surface,4,Image 1,1,285,
32304,,Surface,4,Image 1,1,286,
19882,,Surface,4,Image 1,1,287,
41587,,Surface,4,Image 1,1,288,
26416,,Surface,4,Image 1,1,289,
55248,,Surface,4,Image 1,1,290,
41268,,Surface,4,Image 1,1,291,
79637,,Surface,4,Image 1,1,292,
23859,,Surface,4,Image 1,1,293,
70101,,Surface,4,Image 1,1,294,
39730,,Surface,4,Image 1,1,295,
30047,,Surface,4,Image 1,1,296,
38177,,Surface,4,Image 1,1,297,
14869,,Surface,4,Image 1,1,298,
26044,,Surface,4,Image 1,1,299,
32460,,Surface,4,Image 1,1,300,
79302,,Surface,4,Image 1,1,301,
15547,,Surface,4,Image 1,1,302,
107390,,Surface,4,Image 1,1,303,
29771,,Surface,4,Image 1,1,304,
103414,,Surface,4,Image 1,1,305,
20436,,Surface,4,Image 1,1,306,
28625,,Surface,4,Image 1,1,307,
72643,,Surface,4,Image 1,1,308,
20177,,Surface,4,Image 1,1,309,
28205,,Surface,4,Image 1,1,310,
114333,,Surface,4,Image 1,1,311,
107309,,Surface,4,Image 1,1,312,
14250,,Surface,4,Image 1,1,313,
72823,,Surface,4,Image 1,1,314,
27101,,Surface,4,Image 1,1,315,
33972,,Surface,4,Image 1,1,316,
44847,,Surface,4,Image 1,1,317,
91727,,Surface,4,Image 1,1,318,
30030,,Surface,4,Image 1,1,319,
22098,,Surface,4,Image 1,1,320,
17475,,Surface,4,Image 1,1,321,
22268,,Surface,4,Image 1,1,322,
44458,,Surface,4,Image 1,1,323,
58836,,Surface,4,Image 1,1,324,
35620,,Surface,4,Image 1,1,325,
32019,,Surface,4,Image 1,1,326,
91050,,Surface,4,Image 1,1,327,
49555,,Surface,4,Image 1,1,328,
37811,,Surface,4,Image 1,1,329,
37232,,Surface,4,Image 1,1,330,
40537,,Surface,4,Image 1,1,331,
20014,,Surface,4,Image 1,1,332,
19231,,Surface,4,Image 1,1,333,
26317,,Surface,4,Image 1,1,334,
39560,,Surface,4,Image 1,1,335,
37825,,Surface,4,Image 1,1,336,
39521,,Surface,4,Image 1,1,337,
16466,,Surface,4,Image 1,1,338,
52165,,Surface,4,Image 1,1,339,
45766,,Surface,4,Image 1,1,340,
18201,,Surface,4,Image 1,1,341,
22470,,Surface,4,Image 1,1,342,
54028,,Surface,4,Image 1,1,343,
42739,,Surface,4,Image 1,1,344,
59726,,Surface,4,Image 1,1,345,
68301,,Surface,4,Image 1,1,346,
14174,,Surface,4,Image 1,1,347,
35527,,Surface,4,Image 1,1,348,
20017,,Surface,4,Image 1,1,349,
24978,,Surface,4,Image 1,1,350,
42278,,Surface,4,Image 1,1,351,
25461,,Surface,4,Image 1,1,352,
89641,,Surface,4,Image 1,1,353,
89606,,Surface,4,Image 1,1,354,
139979,,Surface,4,Image 1,1,355,
20596,,Surface,4,Image 1,1,356,
28509,,Surface,4,Image 1,1,357,
18318,,Surface,4,Image 1,1,358,
52183,,Surface,4,Image 1,1,359,
47939,,Surface,4,Image 1,1,360,
73296,,Surface,4,Image 1,1,361,
34490,,Surface,4,Image 1,1,362,
50273,,Surface,4,Image 1,1,363,
122642,,Surface,4,Image 1,1,364,
21263,,Surface,4,Image 1,1,365,
31586,,Surface,4,Image 1,1,366,
76097,,Surface,4,Image 1,1,367,
30394,,Surface,4,Image 1,1,368,
25750,,Surface,4,Image 1,1,369,
71557,,Surface,4,Image 1,1,370,
46293,,Surface,4,Image 1,1,371,
25212,,Surface,4,Image 1,1,372,
79155,,Surface,4,Image 1,1,373,
40398,,Surface,4,Image 1,1,374,
56313,,Surface,4,Image 1,1,375,
72339,,Surface,4,Image 1,1,376,
72568,,Surface,4,Image 1,1,377,
24215,,Surface,4,Image 1,1,378,
43464,,Surface,4,Image 1,1,379,
29522,,Surface,4,Image 1,1,380,
154322,,Surface,4,Image 1,1,381,
44001,,Surface,4,Image 1,1,382,
22165,,Surface,4,Image 1,1,383,
39562,,Surface,4,Image 1,1,384,
30354,,Surface,4,Image 1,1,385,
14840,,Surface,4,Image 1,1,386,
133184,,Surface,4,Image 1,1,387,
76853,,Surface,4,Image 1,1,388,
144053,,Surface,4,Image 1,1,389,
28547,,Surface,4,Image 1,1,390,
69611,,Surface,4,Image 1,1,391,
43878,,Surface,4,Image 1,1,392,
59573,,Surface,4,Image 1,1,393,
41596,,Surface,4,Image 1,1,394,
25938,,Surface,4,Image 1,1,395,
25162,,Surface,4,Image 1,1,396,
140710,,Surface,4,Image 1,1,397,
16253,,Surface,4,Image 1,1,398,
56608,,Surface,4,Image 1,1,399,
13316,,Surface,4,Image 1,1,400,
28642,,Surface,4,Image 1,1,401,
23085,,Surface,4,Image 1,1,402,
51680,,Surface,4,Image 1,1,403,
62942,,Surface,4,Image 1,1,404,
19645,,Surface,4,Image 1,1,405,
49389,,Surface,4,Image 1,1,406,
50343,,Surface,4,Image 1,1,407,
34390,,Surface,4,Image 1,1,408,
29050,,Surface,4,Image 1,1,409,
178567,,Surface,4,Image 1,1,410,
21408,,Surface,4,Image 1,1,411,
84164,,Surface,4,Image 1,1,412,
21733,,Surface,4,Image 1,1,413,
149895,,Surface,4,Image 1,1,414,
19444,,Surface,4,Image 1,1,415,
26099,,Surface,4,Image 1,1,416,
34770,,Surface,4,Image 1,1,417,
45463,,Surface,4,Image 1,1,418,
25373,,Surface,4,Image 1,1,419,
98567,,Surface,4,Image 1,1,420,
47719,,Surface,4,Image 1,1,421,
45573,,Surface,4,Image 1,1,422,
54899,,Surface,4,Image 1,1,423,
60721,,Surface,4,Image 1,1,424,
45293,,Surface,4,Image 1,1,425,
85891,,Surface,4,Image 1,1,426,
30793,,Surface,4,Image 1,1,427,
