
Number of Triangles
 ==================== 
Number of Triangles,Unit,Category,Time,ID,
236,,Surface,1,238,
288,,Surface,1,239,
744,,Surface,1,240,
180,,Surface,1,241,
244,,Surface,1,242,
288,,Surface,1,243,
284,,Surface,1,244,
564,,Surface,1,245,
296,,Surface,1,246,
128,,Surface,1,247,
536,,Surface,1,248,
284,,Surface,1,249,
288,,Surface,1,250,
496,,Surface,1,251,
492,,Surface,1,252,
616,,Surface,1,253,
416,,Surface,1,254,
228,,Surface,1,255,
404,,Surface,1,256,
132,,Surface,1,257,
832,,Surface,1,258,
124,,Surface,1,259,
988,,Surface,1,260,
264,,Surface,1,261,
332,,Surface,1,262,
488,,Surface,1,263,
336,,Surface,1,264,
264,,Surface,1,265,
164,,Surface,1,266,
1376,,Surface,1,267,
368,,Surface,1,268,
712,,Surface,1,269,
564,,Surface,1,270,
552,,Surface,1,271,
280,,Surface,1,272,
236,,Surface,1,273,
312,,Surface,1,274,
180,,Surface,1,275,
596,,Surface,1,276,
232,,Surface,1,277,
908,,Surface,1,278,
368,,Surface,1,279,
208,,Surface,1,280,
372,,Surface,1,281,
288,,Surface,1,282,
284,,Surface,1,283,
628,,Surface,1,284,
376,,Surface,1,285,
272,,Surface,1,286,
184,,Surface,1,287,
340,,Surface,1,288,
240,,Surface,1,289,
480,,Surface,1,290,
376,,Surface,1,291,
608,,Surface,1,292,
208,,Surface,1,293,
564,,Surface,1,294,
376,,Surface,1,295,
264,,Surface,1,296,
332,,Surface,1,297,
132,,Surface,1,298,
220,,Surface,1,299,
280,,Surface,1,300,
616,,Surface,1,301,
148,,Surface,1,302,
848,,Surface,1,303,
268,,Surface,1,304,
884,,Surface,1,305,
184,,Surface,1,306,
256,,Surface,1,307,
560,,Surface,1,308,
176,,Surface,1,309,
236,,Surface,1,310,
876,,Surface,1,311,
864,,Surface,1,312,
144,,Surface,1,313,
656,,Surface,1,314,
240,,Surface,1,315,
308,,Surface,1,316,
400,,Surface,1,317,
748,,Surface,1,318,
256,,Surface,1,319,
196,,Surface,1,320,
164,,Surface,1,321,
204,,Surface,1,322,
412,,Surface,1,323,
476,,Surface,1,324,
300,,Surface,1,325,
284,,Surface,1,326,
696,,Surface,1,327,
432,,Surface,1,328,
328,,Surface,1,329,
316,,Surface,1,330,
328,,Surface,1,331,
184,,Surface,1,332,
168,,Surface,1,333,
236,,Surface,1,334,
324,,Surface,1,335,
308,,Surface,1,336,
340,,Surface,1,337,
148,,Surface,1,338,
440,,Surface,1,339,
396,,Surface,1,340,
164,,Surface,1,341,
228,,Surface,1,342,
436,,Surface,1,343,
352,,Surface,1,344,
500,,Surface,1,345,
564,,Surface,1,346,
140,,Surface,1,347,
296,,Surface,1,348,
176,,Surface,1,349,
216,,Surface,1,350,
380,,Surface,1,351,
232,,Surface,1,352,
772,,Surface,1,353,
852,,Surface,1,354,
1124,,Surface,1,355,
188,,Surface,1,356,
248,,Surface,1,357,
164,,Surface,1,358,
436,,Surface,1,359,
400,,Surface,1,360,
632,,Surface,1,361,
296,,Surface,1,362,
420,,Surface,1,363,
1016,,Surface,1,364,
188,,Surface,1,365,
272,,Surface,1,366,
636,,Surface,1,367,
256,,Surface,1,368,
256,,Surface,1,369,
552,,Surface,1,370,
376,,Surface,1,371,
232,,Surface,1,372,
628,,Surface,1,373,
320,,Surface,1,374,
456,,Surface,1,375,
564,,Surface,1,376,
612,,Surface,1,377,
224,,Surface,1,378,
380,,Surface,1,379,
252,,Surface,1,380,
1244,,Surface,1,381,
392,,Surface,1,382,
200,,Surface,1,383,
348,,Surface,1,384,
272,,Surface,1,385,
140,,Surface,1,386,
1060,,Surface,1,387,
688,,Surface,1,388,
1096,,Surface,1,389,
252,,Surface,1,390,
612,,Surface,1,391,
372,,Surface,1,392,
492,,Surface,1,393,
356,,Surface,1,394,
248,,Surface,1,395,
236,,Surface,1,396,
1148,,Surface,1,397,
176,,Surface,1,398,
500,,Surface,1,399,
136,,Surface,1,400,
264,,Surface,1,401,
212,,Surface,1,402,
480,,Surface,1,403,
572,,Surface,1,404,
188,,Surface,1,405,
420,,Surface,1,406,
456,,Surface,1,407,
292,,Surface,1,408,
264,,Surface,1,409,
1436,,Surface,1,410,
224,,Surface,1,411,
668,,Surface,1,412,
188,,Surface,1,413,
1176,,Surface,1,414,
172,,Surface,1,415,
224,,Surface,1,416,
300,,Surface,1,417,
372,,Surface,1,418,
216,,Surface,1,419,
800,,Surface,1,420,
400,,Surface,1,421,
372,,Surface,1,422,
448,,Surface,1,423,
516,,Surface,1,424,
368,,Surface,1,425,
680,,Surface,1,426,
264,,Surface,1,427,
