
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
180,,Surface,Image 1,1,238,
224,,Surface,Image 1,1,239,
628,,Surface,Image 1,1,240,
132,,Surface,Image 1,1,241,
176,,Surface,Image 1,1,242,
224,,Surface,Image 1,1,243,
220,,Surface,Image 1,1,244,
456,,Surface,Image 1,1,245,
220,,Surface,Image 1,1,246,
88,,Surface,Image 1,1,247,
404,,Surface,Image 1,1,248,
220,,Surface,Image 1,1,249,
224,,Surface,Image 1,1,250,
408,,Surface,Image 1,1,251,
404,,Surface,Image 1,1,252,
500,,Surface,Image 1,1,253,
332,,Surface,Image 1,1,254,
172,,Surface,Image 1,1,255,
300,,Surface,Image 1,1,256,
92,,Surface,Image 1,1,257,
660,,Surface,Image 1,1,258,
88,,Surface,Image 1,1,259,
820,,Surface,Image 1,1,260,
204,,Surface,Image 1,1,261,
260,,Surface,Image 1,1,262,
400,,Surface,Image 1,1,263,
264,,Surface,Image 1,1,264,
196,,Surface,Image 1,1,265,
120,,Surface,Image 1,1,266,
1180,,Surface,Image 1,1,267,
284,,Surface,Image 1,1,268,
568,,Surface,Image 1,1,269,
452,,Surface,Image 1,1,270,
424,,Surface,Image 1,1,271,
212,,Surface,Image 1,1,272,
176,,Surface,Image 1,1,273,
244,,Surface,Image 1,1,274,
132,,Surface,Image 1,1,275,
496,,Surface,Image 1,1,276,
172,,Surface,Image 1,1,277,
680,,Surface,Image 1,1,278,
288,,Surface,Image 1,1,279,
156,,Surface,Image 1,1,280,
296,,Surface,Image 1,1,281,
220,,Surface,Image 1,1,282,
212,,Surface,Image 1,1,283,
508,,Surface,Image 1,1,284,
276,,Surface,Image 1,1,285,
208,,Surface,Image 1,1,286,
128,,Surface,Image 1,1,287,
268,,Surface,Image 1,1,288,
172,,Surface,Image 1,1,289,
372,,Surface,Image 1,1,290,
280,,Surface,Image 1,1,291,
504,,Surface,Image 1,1,292,
152,,Surface,Image 1,1,293,
456,,Surface,Image 1,1,294,
272,,Surface,Image 1,1,295,
196,,Surface,Image 1,1,296,
248,,Surface,Image 1,1,297,
92,,Surface,Image 1,1,298,
164,,Surface,Image 1,1,299,
204,,Surface,Image 1,1,300,
500,,Surface,Image 1,1,301,
96,,Surface,Image 1,1,302,
696,,Surface,Image 1,1,303,
200,,Surface,Image 1,1,304,
744,,Surface,Image 1,1,305,
136,,Surface,Image 1,1,306,
196,,Surface,Image 1,1,307,
464,,Surface,Image 1,1,308,
128,,Surface,Image 1,1,309,
176,,Surface,Image 1,1,310,
728,,Surface,Image 1,1,311,
708,,Surface,Image 1,1,312,
100,,Surface,Image 1,1,313,
512,,Surface,Image 1,1,314,
184,,Surface,Image 1,1,315,
236,,Surface,Image 1,1,316,
308,,Surface,Image 1,1,317,
588,,Surface,Image 1,1,318,
196,,Surface,Image 1,1,319,
140,,Surface,Image 1,1,320,
116,,Surface,Image 1,1,321,
152,,Surface,Image 1,1,322,
312,,Surface,Image 1,1,323,
388,,Surface,Image 1,1,324,
232,,Surface,Image 1,1,325,
216,,Surface,Image 1,1,326,
588,,Surface,Image 1,1,327,
328,,Surface,Image 1,1,328,
252,,Surface,Image 1,1,329,
248,,Surface,Image 1,1,330,
256,,Surface,Image 1,1,331,
136,,Surface,Image 1,1,332,
124,,Surface,Image 1,1,333,
168,,Surface,Image 1,1,334,
248,,Surface,Image 1,1,335,
244,,Surface,Image 1,1,336,
268,,Surface,Image 1,1,337,
104,,Surface,Image 1,1,338,
344,,Surface,Image 1,1,339,
308,,Surface,Image 1,1,340,
116,,Surface,Image 1,1,341,
168,,Surface,Image 1,1,342,
340,,Surface,Image 1,1,343,
276,,Surface,Image 1,1,344,
396,,Surface,Image 1,1,345,
472,,Surface,Image 1,1,346,
96,,Surface,Image 1,1,347,
228,,Surface,Image 1,1,348,
132,,Surface,Image 1,1,349,
160,,Surface,Image 1,1,350,
300,,Surface,Image 1,1,351,
172,,Surface,Image 1,1,352,
620,,Surface,Image 1,1,353,
648,,Surface,Image 1,1,354,
920,,Surface,Image 1,1,355,
140,,Surface,Image 1,1,356,
188,,Surface,Image 1,1,357,
120,,Surface,Image 1,1,358,
348,,Surface,Image 1,1,359,
316,,Surface,Image 1,1,360,
496,,Surface,Image 1,1,361,
228,,Surface,Image 1,1,362,
336,,Surface,Image 1,1,363,
836,,Surface,Image 1,1,364,
136,,Surface,Image 1,1,365,
212,,Surface,Image 1,1,366,
524,,Surface,Image 1,1,367,
196,,Surface,Image 1,1,368,
184,,Surface,Image 1,1,369,
460,,Surface,Image 1,1,370,
300,,Surface,Image 1,1,371,
176,,Surface,Image 1,1,372,
524,,Surface,Image 1,1,373,
252,,Surface,Image 1,1,374,
368,,Surface,Image 1,1,375,
456,,Surface,Image 1,1,376,
500,,Surface,Image 1,1,377,
168,,Surface,Image 1,1,378,
304,,Surface,Image 1,1,379,
188,,Surface,Image 1,1,380,
1040,,Surface,Image 1,1,381,
284,,Surface,Image 1,1,382,
148,,Surface,Image 1,1,383,
272,,Surface,Image 1,1,384,
208,,Surface,Image 1,1,385,
100,,Surface,Image 1,1,386,
912,,Surface,Image 1,1,387,
552,,Surface,Image 1,1,388,
948,,Surface,Image 1,1,389,
188,,Surface,Image 1,1,390,
488,,Surface,Image 1,1,391,
292,,Surface,Image 1,1,392,
408,,Surface,Image 1,1,393,
280,,Surface,Image 1,1,394,
192,,Surface,Image 1,1,395,
176,,Surface,Image 1,1,396,
972,,Surface,Image 1,1,397,
128,,Surface,Image 1,1,398,
388,,Surface,Image 1,1,399,
96,,Surface,Image 1,1,400,
204,,Surface,Image 1,1,401,
156,,Surface,Image 1,1,402,
372,,Surface,Image 1,1,403,
472,,Surface,Image 1,1,404,
136,,Surface,Image 1,1,405,
340,,Surface,Image 1,1,406,
360,,Surface,Image 1,1,407,
228,,Surface,Image 1,1,408,
200,,Surface,Image 1,1,409,
