
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.766392,,Surface,1,238,
0.743391,,Surface,1,239,
0.597698,,Surface,1,240,
0.805878,,Surface,1,241,
0.72272,,Surface,1,242,
0.726748,,Surface,1,243,
0.736991,,Surface,1,244,
0.624028,,Surface,1,245,
0.710989,,Surface,1,246,
0.852974,,Surface,1,247,
0.593033,,Surface,1,248,
0.744051,,Surface,1,249,
0.74268,,Surface,1,250,
0.665121,,Surface,1,251,
0.655501,,Surface,1,252,
0.617452,,Surface,1,253,
0.669966,,Surface,1,254,
0.764955,,Surface,1,255,
0.62904,,Surface,1,256,
0.834473,,Surface,1,257,
0.532013,,Surface,1,258,
0.85257,,Surface,1,259,
0.536364,,Surface,1,260,
0.753965,,Surface,1,261,
0.715872,,Surface,1,262,
0.664744,,Surface,1,263,
0.708331,,Surface,1,264,
0.712426,,Surface,1,265,
0.808943,,Surface,1,266,
0.496607,,Surface,1,267,
0.679956,,Surface,1,268,
0.575992,,Surface,1,269,
0.609697,,Surface,1,270,
0.58395,,Surface,1,271,
0.74667,,Surface,1,272,
0.75236,,Surface,1,273,
0.730604,,Surface,1,274,
0.807268,,Surface,1,275,
0.622052,,Surface,1,276,
0.763965,,Surface,1,277,
0.485337,,Surface,1,278,
0.698683,,Surface,1,279,
0.780771,,Surface,1,280,
0.691795,,Surface,1,281,
0.737766,,Surface,1,282,
0.712297,,Surface,1,283,
0.601652,,Surface,1,284,
0.631869,,Surface,1,285,
0.753387,,Surface,1,286,
0.776708,,Surface,1,287,
0.702844,,Surface,1,288,
0.736461,,Surface,1,289,
0.628118,,Surface,1,290,
0.645337,,Surface,1,291,
0.631288,,Surface,1,292,
0.776966,,Surface,1,293,
0.625778,,Surface,1,294,
0.62784,,Surface,1,295,
0.716421,,Surface,1,296,
0.662504,,Surface,1,297,
0.839995,,Surface,1,298,
0.782381,,Surface,1,299,
0.702698,,Surface,1,300,
0.614272,,Surface,1,301,
0.755422,,Surface,1,302,
0.555428,,Surface,1,303,
0.73508,,Surface,1,304,
0.563623,,Surface,1,305,
0.797791,,Surface,1,306,
0.75035,,Surface,1,307,
0.637565,,Surface,1,308,
0.815891,,Surface,1,309,
0.762623,,Surface,1,310,
0.56237,,Surface,1,311,
0.551731,,Surface,1,312,
0.794787,,Surface,1,313,
0.567995,,Surface,1,314,
0.769757,,Surface,1,315,
0.716179,,Surface,1,316,
0.66176,,Surface,1,317,
0.544647,,Surface,1,318,
0.757543,,Surface,1,319,
0.751008,,Surface,1,320,
0.791228,,Surface,1,321,
0.780004,,Surface,1,322,
0.640299,,Surface,1,323,
0.666718,,Surface,1,324,
0.730298,,Surface,1,325,
0.740345,,Surface,1,326,
0.612346,,Surface,1,327,
0.633893,,Surface,1,328,
0.711853,,Surface,1,329,
0.725563,,Surface,1,330,
0.72341,,Surface,1,331,
0.787389,,Surface,1,332,
0.817998,,Surface,1,333,
0.727077,,Surface,1,334,
0.713014,,Surface,1,335,
0.724272,,Surface,1,336,
0.717671,,Surface,1,337,
0.831689,,Surface,1,338,
0.655829,,Surface,1,339,
0.667138,,Surface,1,340,
0.789502,,Surface,1,341,
0.749885,,Surface,1,342,
0.666803,,Surface,1,343,
0.708433,,Surface,1,344,
0.635052,,Surface,1,345,
0.64466,,Surface,1,346,
0.831951,,Surface,1,347,
0.721907,,Surface,1,348,
0.809162,,Surface,1,349,
0.778206,,Surface,1,350,
0.697784,,Surface,1,351,
0.758554,,Surface,1,352,
0.561932,,Surface,1,353,
0.504461,,Surface,1,354,
0.504888,,Surface,1,355,
0.800678,,Surface,1,356,
0.767899,,Surface,1,357,
0.805298,,Surface,1,358,
0.670868,,Surface,1,359,
0.682289,,Surface,1,360,
0.587321,,Surface,1,361,
0.737423,,Surface,1,362,
0.680712,,Surface,1,363,
0.523967,,Surface,1,364,
0.793771,,Surface,1,365,
0.749296,,Surface,1,366,
0.613116,,Surface,1,367,
0.758378,,Surface,1,368,
0.712859,,Surface,1,369,
0.648276,,Surface,1,370,
0.707541,,Surface,1,371,
0.768525,,Surface,1,372,
0.629077,,Surface,1,373,
0.731816,,Surface,1,374,
0.670752,,Surface,1,375,
0.625607,,Surface,1,376,
0.615259,,Surface,1,377,
0.775204,,Surface,1,378,
0.688454,,Surface,1,379,
0.74563,,Surface,1,380,
0.503327,,Surface,1,381,
0.60305,,Surface,1,382,
0.786613,,Surface,1,383,
0.705227,,Surface,1,384,
0.747177,,Surface,1,385,
0.829131,,Surface,1,386,
0.548458,,Surface,1,387,
0.585045,,Surface,1,388,
0.5419,,Surface,1,389,
0.758037,,Surface,1,390,
0.602891,,Surface,1,391,
0.692825,,Surface,1,392,
0.666344,,Surface,1,393,
0.705803,,Surface,1,394,
0.758253,,Surface,1,395,
0.757591,,Surface,1,396,
0.519446,,Surface,1,397,
0.78827,,Surface,1,398,
0.623991,,Surface,1,399,
0.841799,,Surface,1,400,
0.751976,,Surface,1,401,
0.778081,,Surface,1,402,
0.627071,,Surface,1,403,
0.636397,,Surface,1,404,
0.801019,,Surface,1,405,
0.687225,,Surface,1,406,
0.64854,,Surface,1,407,
0.743813,,Surface,1,408,
0.744661,,Surface,1,409,
0.483308,,Surface,1,410,
0.760397,,Surface,1,411,
0.604851,,Surface,1,412,
0.800135,,Surface,1,413,
0.528542,,Surface,1,414,
0.807521,,Surface,1,415,
0.776186,,Surface,1,416,
0.713787,,Surface,1,417,
0.701918,,Surface,1,418,
0.774056,,Surface,1,419,
0.579786,,Surface,1,420,
0.664947,,Surface,1,421,
0.693802,,Surface,1,422,
0.659586,,Surface,1,423,
0.610849,,Surface,1,424,
0.693418,,Surface,1,425,
0.614613,,Surface,1,426,
0.738258,,Surface,1,427,
