
Center of Image Mass Ch=3 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
50362.3,38674.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2422,
50225.2,38812.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2423,
50426.4,38610.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2424,
50390,38652.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2425,
50362.1,38686,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2426,
50374.6,38679.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2427,
50413.8,38641.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2428,
50374.4,38688,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2429,
49871,39186,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2430,
50045.7,39013.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2431,
49949.6,39111.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2432,
50430.8,38640.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2433,
50240.7,38832.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2434,
50286.2,38795.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2435,
50374.3,38709.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2436,
50330.6,38766.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2437,
50421,38675.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2438,
50415.3,38684.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2439,
50102.6,38998.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2440,
50332.8,38784.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2441,
50354.4,38766.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2442,
49968.8,39148.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2443,
50285.1,38848.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2444,
50176.4,38964.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2445,
50376.1,38776,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2446,
50347.7,38810.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2447,
50174.2,39002.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2448,
50205.9,38982.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2449,
50224.9,38968.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2450,
50229.8,38983.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2451,
50310.3,38614.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2452,
50416.5,38505,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2453,
50244,38681.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2454,
50317.5,38611.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2455,
50415.4,38522.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2456,
50366.4,38577,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2457,
50268.7,38672.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2458,
50423.4,38525.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2459,
50257.9,38698.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2460,
50320.5,38640.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2461,
50340,38620.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2462,
50319.7,38653.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2463,
49952.8,39019,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2464,
50385.7,38599.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2465,
50286.5,38702.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2466,
50377.2,38617.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2467,
50367.6,38625.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2468,
50211.3,38801,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2469,
49768,39013.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2470,
49979.5,38800.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2471,
50303.9,38482.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2472,
50009.7,38782.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2473,
50305.8,38489.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2474,
49754.6,39048.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2475,
50375.9,38426.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2476,
