
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
482.469,um,Surface,Image 1,1,2422,
503.02,um,Surface,Image 1,1,2423,
418.957,um,Surface,Image 1,1,2424,
455.242,um,Surface,Image 1,1,2425,
481.445,um,Surface,Image 1,1,2426,
467.094,um,Surface,Image 1,1,2427,
430.078,um,Surface,Image 1,1,2428,
469.41,um,Surface,Image 1,1,2429,
132.34,um,Surface,Image 1,1,2430,
304.855,um,Surface,Image 1,1,2431,
207.438,um,Surface,Image 1,1,2432,
414.398,um,Surface,Image 1,1,2433,
484.34,um,Surface,Image 1,1,2434,
519.832,um,Surface,Image 1,1,2435,
469.469,um,Surface,Image 1,1,2436,
512.336,um,Surface,Image 1,1,2437,
422.977,um,Surface,Image 1,1,2438,
429.094,um,Surface,Image 1,1,2439,
319.32,um,Surface,Image 1,1,2440,
510.633,um,Surface,Image 1,1,2441,
487.848,um,Surface,Image 1,1,2442,
170.77,um,Surface,Image 1,1,2443,
469.516,um,Surface,Image 1,1,2444,
349.84,um,Surface,Image 1,1,2445,
463.715,um,Surface,Image 1,1,2446,
497.699,um,Surface,Image 1,1,2447,
314.676,um,Surface,Image 1,1,2448,
333.559,um,Surface,Image 1,1,2449,
350.719,um,Surface,Image 1,1,2450,
333.957,um,Surface,Image 1,1,2451,
533.648,um,Surface,Image 1,1,2452,
429.281,um,Surface,Image 1,1,2453,
601.313,um,Surface,Image 1,1,2454,
526.992,um,Surface,Image 1,1,2455,
427.344,um,Surface,Image 1,1,2456,
477.914,um,Surface,Image 1,1,2457,
575.961,um,Surface,Image 1,1,2458,
421.219,um,Surface,Image 1,1,2459,
588.125,um,Surface,Image 1,1,2460,
523.051,um,Surface,Image 1,1,2461,
505.398,um,Surface,Image 1,1,2462,
524.625,um,Surface,Image 1,1,2463,
299.137,um,Surface,Image 1,1,2464,
457.508,um,Surface,Image 1,1,2465,
559.156,um,Surface,Image 1,1,2466,
462.414,um,Surface,Image 1,1,2467,
476.609,um,Surface,Image 1,1,2468,
516.504,um,Surface,Image 1,1,2469,
175.883,um,Surface,Image 1,1,2470,
389.148,um,Surface,Image 1,1,2471,
540.156,um,Surface,Image 1,1,2472,
418.996,um,Surface,Image 1,1,2473,
540.176,um,Surface,Image 1,1,2474,
162.32,um,Surface,Image 1,1,2475,
469.367,um,Surface,Image 1,1,2476,
178.477,um,Surface,Image 1,1,2477,
448.383,um,Surface,Image 1,1,2478,
539.211,um,Surface,Image 1,1,2479,
434.422,um,Surface,Image 1,1,2480,
540.266,um,Surface,Image 1,1,2481,
594.676,um,Surface,Image 1,1,2482,
512.945,um,Surface,Image 1,1,2483,
473.008,um,Surface,Image 1,1,2484,
579.484,um,Surface,Image 1,1,2485,
503.219,um,Surface,Image 1,1,2486,
442.766,um,Surface,Image 1,1,2487,
605.781,um,Surface,Image 1,1,2488,
449.109,um,Surface,Image 1,1,2489,
590.273,um,Surface,Image 1,1,2490,
415.625,um,Surface,Image 1,1,2491,
515.781,um,Surface,Image 1,1,2492,
543.672,um,Surface,Image 1,1,2493,
555.852,um,Surface,Image 1,1,2494,
565.652,um,Surface,Image 1,1,2495,
599.113,um,Surface,Image 1,1,2496,
582.363,um,Surface,Image 1,1,2497,
364.773,um,Surface,Image 1,1,2498,
566.652,um,Surface,Image 1,1,2499,
361.934,um,Surface,Image 1,1,2500,
485.988,um,Surface,Image 1,1,2501,
499.234,um,Surface,Image 1,1,2502,
535.016,um,Surface,Image 1,1,2503,
444.879,um,Surface,Image 1,1,2504,
543.762,um,Surface,Image 1,1,2505,
476.063,um,Surface,Image 1,1,2506,
495.93,um,Surface,Image 1,1,2507,
490.273,um,Surface,Image 1,1,2508,
607.98,um,Surface,Image 1,1,2509,
410.734,um,Surface,Image 1,1,2510,
465.727,um,Surface,Image 1,1,2511,
275.484,um,Surface,Image 1,1,2512,
531.914,um,Surface,Image 1,1,2513,
507.668,um,Surface,Image 1,1,2514,
532.906,um,Surface,Image 1,1,2515,
560.43,um,Surface,Image 1,1,2516,
465.5,um,Surface,Image 1,1,2517,
623.445,um,Surface,Image 1,1,2518,
554.969,um,Surface,Image 1,1,2519,
562.094,um,Surface,Image 1,1,2520,
525.5,um,Surface,Image 1,1,2521,
504.398,um,Surface,Image 1,1,2522,
516.301,um,Surface,Image 1,1,2523,
454.32,um,Surface,Image 1,1,2524,
428.492,um,Surface,Image 1,1,2525,
492.223,um,Surface,Image 1,1,2526,
391.348,um,Surface,Image 1,1,2527,
571.695,um,Surface,Image 1,1,2528,
551.422,um,Surface,Image 1,1,2529,
494.227,um,Surface,Image 1,1,2530,
472.336,um,Surface,Image 1,1,2531,
552.586,um,Surface,Image 1,1,2532,
580.945,um,Surface,Image 1,1,2533,
503.715,um,Surface,Image 1,1,2534,
449.195,um,Surface,Image 1,1,2535,
388.492,um,Surface,Image 1,1,2536,
537.719,um,Surface,Image 1,1,2537,
600.777,um,Surface,Image 1,1,2538,
376.852,um,Surface,Image 1,1,2539,
446.336,um,Surface,Image 1,1,2540,
404,um,Surface,Image 1,1,2541,
546.715,um,Surface,Image 1,1,2542,
532.406,um,Surface,Image 1,1,2543,
523.672,um,Surface,Image 1,1,2544,
391.766,um,Surface,Image 1,1,2545,
524.277,um,Surface,Image 1,1,2546,
624.051,um,Surface,Image 1,1,2547,
590.102,um,Surface,Image 1,1,2548,
605.102,um,Surface,Image 1,1,2549,
571.758,um,Surface,Image 1,1,2550,
507.879,um,Surface,Image 1,1,2551,
472.523,um,Surface,Image 1,1,2552,
376.816,um,Surface,Image 1,1,2553,
547.742,um,Surface,Image 1,1,2554,
373.648,um,Surface,Image 1,1,2555,
572.496,um,Surface,Image 1,1,2556,
441.734,um,Surface,Image 1,1,2557,
485.102,um,Surface,Image 1,1,2558,
245.055,um,Surface,Image 1,1,2559,
611.711,um,Surface,Image 1,1,2560,
588.852,um,Surface,Image 1,1,2561,
361.789,um,Surface,Image 1,1,2562,
444.234,um,Surface,Image 1,1,2563,
591.172,um,Surface,Image 1,1,2564,
506.141,um,Surface,Image 1,1,2565,
610.789,um,Surface,Image 1,1,2566,
617.352,um,Surface,Image 1,1,2567,
567.195,um,Surface,Image 1,1,2568,
605.945,um,Surface,Image 1,1,2569,
170.773,um,Surface,Image 1,1,2570,
447.617,um,Surface,Image 1,1,2571,
590.031,um,Surface,Image 1,1,2572,
502.977,um,Surface,Image 1,1,2573,
400.527,um,Surface,Image 1,1,2574,
365.273,um,Surface,Image 1,1,2575,
366.824,um,Surface,Image 1,1,2576,
528.172,um,Surface,Image 1,1,2577,
431.258,um,Surface,Image 1,1,2578,
518.383,um,Surface,Image 1,1,2579,
535.32,um,Surface,Image 1,1,2580,
370.445,um,Surface,Image 1,1,2581,
501.93,um,Surface,Image 1,1,2582,
520.203,um,Surface,Image 1,1,2583,
576.164,um,Surface,Image 1,1,2584,
233.508,um,Surface,Image 1,1,2585,
296.402,um,Surface,Image 1,1,2586,
580.656,um,Surface,Image 1,1,2587,
601.246,um,Surface,Image 1,1,2588,
487.414,um,Surface,Image 1,1,2589,
366.086,um,Surface,Image 1,1,2590,
424.398,um,Surface,Image 1,1,2591,
215.352,um,Surface,Image 1,1,2592,
337.023,um,Surface,Image 1,1,2593,
431.234,um,Surface,Image 1,1,2594,
510.727,um,Surface,Image 1,1,2595,
401.102,um,Surface,Image 1,1,2596,
540.453,um,Surface,Image 1,1,2597,
598.914,um,Surface,Image 1,1,2598,
432.063,um,Surface,Image 1,1,2599,
339.969,um,Surface,Image 1,1,2600,
269.664,um,Surface,Image 1,1,2601,
362.07,um,Surface,Image 1,1,2602,
516.27,um,Surface,Image 1,1,2603,
573.449,um,Surface,Image 1,1,2604,
566.527,um,Surface,Image 1,1,2605,
578.633,um,Surface,Image 1,1,2606,
535.82,um,Surface,Image 1,1,2607,
392.512,um,Surface,Image 1,1,2608,
450.52,um,Surface,Image 1,1,2609,
507.391,um,Surface,Image 1,1,2610,
425.973,um,Surface,Image 1,1,2611,
396.855,um,Surface,Image 1,1,2612,
436.375,um,Surface,Image 1,1,2613,
604.16,um,Surface,Image 1,1,2614,
512.031,um,Surface,Image 1,1,2615,
464.777,um,Surface,Image 1,1,2616,
621.406,um,Surface,Image 1,1,2617,
565.945,um,Surface,Image 1,1,2618,
561.313,um,Surface,Image 1,1,2619,
336.242,um,Surface,Image 1,1,2620,
430.578,um,Surface,Image 1,1,2621,
584.473,um,Surface,Image 1,1,2622,
523.887,um,Surface,Image 1,1,2623,
557.844,um,Surface,Image 1,1,2624,
605.57,um,Surface,Image 1,1,2625,
357.438,um,Surface,Image 1,1,2626,
552.602,um,Surface,Image 1,1,2627,
575.391,um,Surface,Image 1,1,2628,
237.309,um,Surface,Image 1,1,2629,
561.715,um,Surface,Image 1,1,2630,
598.883,um,Surface,Image 1,1,2631,
498.703,um,Surface,Image 1,1,2632,
489.766,um,Surface,Image 1,1,2633,
620.594,um,Surface,Image 1,1,2634,
594.195,um,Surface,Image 1,1,2635,
480.109,um,Surface,Image 1,1,2636,
330.758,um,Surface,Image 1,1,2637,
560.523,um,Surface,Image 1,1,2638,
516.309,um,Surface,Image 1,1,2639,
596.063,um,Surface,Image 1,1,2640,
597.813,um,Surface,Image 1,1,2641,
590.93,um,Surface,Image 1,1,2642,
427,um,Surface,Image 1,1,2643,
419.684,um,Surface,Image 1,1,2644,
566.789,um,Surface,Image 1,1,2645,
186.34,um,Surface,Image 1,1,2646,
541.051,um,Surface,Image 1,1,2647,
356.906,um,Surface,Image 1,1,2648,
182.34,um,Surface,Image 1,1,2649,
313.43,um,Surface,Image 1,1,2650,
591.758,um,Surface,Image 1,1,2651,
569.406,um,Surface,Image 1,1,2652,
264.961,um,Surface,Image 1,1,2653,
362.32,um,Surface,Image 1,1,2654,
371.711,um,Surface,Image 1,1,2655,
446.191,um,Surface,Image 1,1,2656,
182.156,um,Surface,Image 1,1,2657,
561.813,um,Surface,Image 1,1,2658,
375.883,um,Surface,Image 1,1,2659,
545.383,um,Surface,Image 1,1,2660,
461.117,um,Surface,Image 1,1,2661,
337.031,um,Surface,Image 1,1,2662,
423.398,um,Surface,Image 1,1,2663,
603.664,um,Surface,Image 1,1,2664,
271.063,um,Surface,Image 1,1,2665,
443.727,um,Surface,Image 1,1,2666,
607.602,um,Surface,Image 1,1,2667,
572.078,um,Surface,Image 1,1,2668,
604.77,um,Surface,Image 1,1,2669,
567.305,um,Surface,Image 1,1,2670,
387.523,um,Surface,Image 1,1,2671,
268.5,um,Surface,Image 1,1,2672,
282,um,Surface,Image 1,1,2673,
573.43,um,Surface,Image 1,1,2674,
539.633,um,Surface,Image 1,1,2675,
571.484,um,Surface,Image 1,1,2676,
416.344,um,Surface,Image 1,1,2677,
412.551,um,Surface,Image 1,1,2678,
286.844,um,Surface,Image 1,1,2679,
357.609,um,Surface,Image 1,1,2680,
459.512,um,Surface,Image 1,1,2681,
385.789,um,Surface,Image 1,1,2682,
230.328,um,Surface,Image 1,1,2683,
601.898,um,Surface,Image 1,1,2684,
403.25,um,Surface,Image 1,1,2685,
550.195,um,Surface,Image 1,1,2686,
402.98,um,Surface,Image 1,1,2687,
362.301,um,Surface,Image 1,1,2688,
528.133,um,Surface,Image 1,1,2689,
371.203,um,Surface,Image 1,1,2690,
211.719,um,Surface,Image 1,1,2691,
155.922,um,Surface,Image 1,1,2692,
356.906,um,Surface,Image 1,1,2693,
211.59,um,Surface,Image 1,1,2694,
390.992,um,Surface,Image 1,1,2695,
392.941,um,Surface,Image 1,1,2696,
381.375,um,Surface,Image 1,1,2697,
383.742,um,Surface,Image 1,1,2698,
336.891,um,Surface,Image 1,1,2699,
625.871,um,Surface,Image 1,1,2700,
562.672,um,Surface,Image 1,1,2701,
281.648,um,Surface,Image 1,1,2702,
506.984,um,Surface,Image 1,1,2703,
605.672,um,Surface,Image 1,1,2704,
306.227,um,Surface,Image 1,1,2705,
622.434,um,Surface,Image 1,1,2706,
374.641,um,Surface,Image 1,1,2707,
389.305,um,Surface,Image 1,1,2708,
156.855,um,Surface,Image 1,1,2709,
526.93,um,Surface,Image 1,1,2710,
392.563,um,Surface,Image 1,1,2711,
606.84,um,Surface,Image 1,1,2712,
524.977,um,Surface,Image 1,1,2713,
239.344,um,Surface,Image 1,1,2714,
505.512,um,Surface,Image 1,1,2715,
297.117,um,Surface,Image 1,1,2716,
536.508,um,Surface,Image 1,1,2717,
409.453,um,Surface,Image 1,1,2718,
299.527,um,Surface,Image 1,1,2719,
290.422,um,Surface,Image 1,1,2720,
304.875,um,Surface,Image 1,1,2721,
338.547,um,Surface,Image 1,1,2722,
501.445,um,Surface,Image 1,1,2723,
601.32,um,Surface,Image 1,1,2724,
512.176,um,Surface,Image 1,1,2725,
596.984,um,Surface,Image 1,1,2726,
511.172,um,Surface,Image 1,1,2727,
451.914,um,Surface,Image 1,1,2728,
593.656,um,Surface,Image 1,1,2729,
499.32,um,Surface,Image 1,1,2730,
493.586,um,Surface,Image 1,1,2731,
481.879,um,Surface,Image 1,1,2732,
499.844,um,Surface,Image 1,1,2733,
494.688,um,Surface,Image 1,1,2734,
421.906,um,Surface,Image 1,1,2735,
474.32,um,Surface,Image 1,1,2736,
360.988,um,Surface,Image 1,1,2737,
551.055,um,Surface,Image 1,1,2738,
444.313,um,Surface,Image 1,1,2739,
324.758,um,Surface,Image 1,1,2740,
