
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
0.890689,0.454613,-1.28899e-12,um,Surface,Ellipsoid Axis B,1,2422,
-0.995898,0.0904861,-4.77612e-12,um,Surface,Ellipsoid Axis B,1,2423,
0.813068,-0.582168,-1.36726e-11,um,Surface,Ellipsoid Axis B,1,2424,
0.880903,-0.473296,2.43513e-12,um,Surface,Ellipsoid Axis B,1,2425,
0.967818,0.251651,7.87934e-12,um,Surface,Ellipsoid Axis B,1,2426,
-0.388432,0.921477,7.72589e-13,um,Surface,Ellipsoid Axis B,1,2427,
0.396253,0.918141,-4.55547e-12,um,Surface,Ellipsoid Axis B,1,2428,
0.999496,0.0317399,-1.42996e-13,um,Surface,Ellipsoid Axis B,1,2429,
1,1.07264e-06,-1.58205e-17,um,Surface,Ellipsoid Axis B,1,2430,
0.957994,-0.286788,-1.34675e-12,um,Surface,Ellipsoid Axis B,1,2431,
-0.316237,-0.94868,-6.41119e-12,um,Surface,Ellipsoid Axis B,1,2432,
0.0822859,0.996609,-1.02884e-12,um,Surface,Ellipsoid Axis B,1,2433,
-0.996626,0.082082,4.28833e-12,um,Surface,Ellipsoid Axis B,1,2434,
0.988543,0.150942,-6.11113e-12,um,Surface,Ellipsoid Axis B,1,2435,
0.788192,0.61543,-3.62967e-11,um,Surface,Ellipsoid Axis B,1,2436,
0.826971,-0.562245,-1.38699e-11,um,Surface,Ellipsoid Axis B,1,2437,
0.589088,-0.808069,-5.59011e-12,um,Surface,Ellipsoid Axis B,1,2438,
-0.500912,-0.865498,1.23586e-11,um,Surface,Ellipsoid Axis B,1,2439,
0.747378,0.664399,0,um,Surface,Ellipsoid Axis B,1,2440,
0.0423684,-0.999102,-5.86524e-12,um,Surface,Ellipsoid Axis B,1,2441,
0.98633,-0.164783,-8.08988e-13,um,Surface,Ellipsoid Axis B,1,2442,
0,1,0,um,Surface,Ellipsoid Axis B,1,2443,
-0.966457,0.256827,-1.55204e-11,um,Surface,Ellipsoid Axis B,1,2444,
0.919449,0.393209,-1.42601e-11,um,Surface,Ellipsoid Axis B,1,2445,
0.162048,-0.986783,-4.31205e-12,um,Surface,Ellipsoid Axis B,1,2446,
0.913819,-0.406121,-4.27522e-12,um,Surface,Ellipsoid Axis B,1,2447,
0.935132,0.354299,-3.28834e-12,um,Surface,Ellipsoid Axis B,1,2448,
-0.461698,-0.887037,1.69069e-11,um,Surface,Ellipsoid Axis B,1,2449,
1,-1.36001e-05,-1.3747e-11,um,Surface,Ellipsoid Axis B,1,2450,
0.895581,-0.444898,-1.03075e-11,um,Surface,Ellipsoid Axis B,1,2451,
0.920954,0.38967,-2.046e-13,um,Surface,Ellipsoid Axis B,1,2452,
-0.84967,-0.527315,-5.09986e-12,um,Surface,Ellipsoid Axis B,1,2453,
-0.991052,-0.133474,-3.24404e-12,um,Surface,Ellipsoid Axis B,1,2454,
0.0984619,0.995141,2.85026e-12,um,Surface,Ellipsoid Axis B,1,2455,
-0.526967,-0.849886,4.32222e-12,um,Surface,Ellipsoid Axis B,1,2456,
-0.829381,-0.558684,-1.28181e-11,um,Surface,Ellipsoid Axis B,1,2457,
-0.393692,0.919242,2.9528e-12,um,Surface,Ellipsoid Axis B,1,2458,
-0.545991,0.837791,6.50753e-12,um,Surface,Ellipsoid Axis B,1,2459,
0.994694,-0.102875,0,um,Surface,Ellipsoid Axis B,1,2460,
0.50992,0.860222,-1.26306e-11,um,Surface,Ellipsoid Axis B,1,2461,
1,-1.84361e-06,-5.10269e-18,um,Surface,Ellipsoid Axis B,1,2462,
-0.908706,-0.417436,4.86888e-12,um,Surface,Ellipsoid Axis B,1,2463,
0.72314,0.690701,-1.71614e-12,um,Surface,Ellipsoid Axis B,1,2464,
0.406831,-0.913503,-9.96933e-12,um,Surface,Ellipsoid Axis B,1,2465,
-0.613222,0.78991,2.41641e-12,um,Surface,Ellipsoid Axis B,1,2466,
-0.331185,-0.943566,-4.14548e-12,um,Surface,Ellipsoid Axis B,1,2467,
-0.461732,-0.88702,1.08626e-11,um,Surface,Ellipsoid Axis B,1,2468,
-0.539931,-0.84171,-3.07262e-12,um,Surface,Ellipsoid Axis B,1,2469,
-0.833294,-0.55283,-5.53153e-12,um,Surface,Ellipsoid Axis B,1,2470,
1,-0.000372809,0,um,Surface,Ellipsoid Axis B,1,2471,
-0.00830896,0.999965,3.91643e-12,um,Surface,Ellipsoid Axis B,1,2472,
0.345545,-0.938402,-1.21025e-11,um,Surface,Ellipsoid Axis B,1,2473,
0.933855,0.357651,-9.88136e-12,um,Surface,Ellipsoid Axis B,1,2474,
0.225632,0.974213,-1.47259e-12,um,Surface,Ellipsoid Axis B,1,2475,
0.72886,0.684662,0,um,Surface,Ellipsoid Axis B,1,2476,
0.730234,0.683198,2.23813e-12,um,Surface,Ellipsoid Axis B,1,2477,
-0.2978,0.954628,2.77966e-12,um,Surface,Ellipsoid Axis B,1,2478,
-0.704163,-0.710039,-2.32929e-11,um,Surface,Ellipsoid Axis B,1,2479,
-0.604155,0.796867,4.07531e-12,um,Surface,Ellipsoid Axis B,1,2480,
0.358429,0.933557,2.39554e-12,um,Surface,Ellipsoid Axis B,1,2481,
0.966645,-0.256122,4.62161e-12,um,Surface,Ellipsoid Axis B,1,2482,
-0.530978,0.847386,-3.53237e-12,um,Surface,Ellipsoid Axis B,1,2483,
-0.937885,-0.346946,-2.5497e-11,um,Surface,Ellipsoid Axis B,1,2484,
0.62973,0.776814,-2.32927e-12,um,Surface,Ellipsoid Axis B,1,2485,
0.314634,-0.949213,1.75088e-12,um,Surface,Ellipsoid Axis B,1,2486,
-0.325102,0.945679,1.26828e-11,um,Surface,Ellipsoid Axis B,1,2487,
-1,0,-2.07148e-11,um,Surface,Ellipsoid Axis B,1,2488,
0.989812,0.14238,1.50788e-11,um,Surface,Ellipsoid Axis B,1,2489,
0.779351,0.626588,-2.89398e-12,um,Surface,Ellipsoid Axis B,1,2490,
0.340315,0.940311,-8.78397e-13,um,Surface,Ellipsoid Axis B,1,2491,
0.842995,-0.537922,-2.21305e-11,um,Surface,Ellipsoid Axis B,1,2492,
-0.678194,0.734883,0,um,Surface,Ellipsoid Axis B,1,2493,
0.902829,0.43,8.52059e-13,um,Surface,Ellipsoid Axis B,1,2494,
0.965637,-0.259895,-6.19783e-12,um,Surface,Ellipsoid Axis B,1,2495,
0.876047,-0.482225,-3.82687e-12,um,Surface,Ellipsoid Axis B,1,2496,
0.993933,-0.109987,-1.74604e-12,um,Surface,Ellipsoid Axis B,1,2497,
0.708797,0.705413,-4.40811e-12,um,Surface,Ellipsoid Axis B,1,2498,
-0.955753,-0.294171,3.29555e-11,um,Surface,Ellipsoid Axis B,1,2499,
0.266186,-0.963922,-4.89196e-12,um,Surface,Ellipsoid Axis B,1,2500,
-0.438464,-0.898749,3.46727e-12,um,Surface,Ellipsoid Axis B,1,2501,
-0.566261,-0.824226,-3.29786e-12,um,Surface,Ellipsoid Axis B,1,2502,
0.975915,-0.218149,1.93688e-11,um,Surface,Ellipsoid Axis B,1,2503,
0.707108,-0.707106,3.93454e-11,um,Surface,Ellipsoid Axis B,1,2504,
0.656018,-0.754745,-6.2023e-12,um,Surface,Ellipsoid Axis B,1,2505,
-0.69655,0.717508,-4.49515e-13,um,Surface,Ellipsoid Axis B,1,2506,
-0.99699,0.077527,-9.05184e-12,um,Surface,Ellipsoid Axis B,1,2507,
-0.800902,-0.598796,3.24785e-11,um,Surface,Ellipsoid Axis B,1,2508,
-0.8475,-0.530795,1.70988e-11,um,Surface,Ellipsoid Axis B,1,2509,
0.507328,-0.861753,-1.36285e-11,um,Surface,Ellipsoid Axis B,1,2510,
-0.941546,-0.336885,-1.77877e-12,um,Surface,Ellipsoid Axis B,1,2511,
0.973764,-0.227561,6.68735e-13,um,Surface,Ellipsoid Axis B,1,2512,
0.551629,0.83409,-2.52602e-12,um,Surface,Ellipsoid Axis B,1,2513,
0.979152,-0.203128,-4.8877e-11,um,Surface,Ellipsoid Axis B,1,2514,
-0.233062,-0.972462,8.87386e-12,um,Surface,Ellipsoid Axis B,1,2515,
0.0428365,-0.999082,-5.97146e-12,um,Surface,Ellipsoid Axis B,1,2516,
0.141065,0.99,0,um,Surface,Ellipsoid Axis B,1,2517,
0.910312,-0.413923,-2.67681e-12,um,Surface,Ellipsoid Axis B,1,2518,
0.711031,0.703161,0,um,Surface,Ellipsoid Axis B,1,2519,
0.903047,-0.429542,3.2138e-11,um,Surface,Ellipsoid Axis B,1,2520,
-0.353234,-0.935535,4.42833e-12,um,Surface,Ellipsoid Axis B,1,2521,
