
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
0.454613,-0.890689,-8.64071e-13,um,Surface,Ellipsoid Axis C,1,2422,
-0.0904861,-0.995898,-5.98536e-14,um,Surface,Ellipsoid Axis C,1,2423,
0.582168,0.813068,2.22056e-12,um,Surface,Ellipsoid Axis C,1,2424,
-0.473296,-0.880903,-1.08211e-12,um,Surface,Ellipsoid Axis C,1,2425,
-0.251651,0.967818,-2.2381e-12,um,Surface,Ellipsoid Axis C,1,2426,
0.921477,0.388432,-6.2059e-13,um,Surface,Ellipsoid Axis C,1,2427,
0.918141,-0.396253,1.30823e-12,um,Surface,Ellipsoid Axis C,1,2428,
-0.0317399,0.999496,-1.07768e-12,um,Surface,Ellipsoid Axis C,1,2429,
-1.07264e-06,1,-7.75805e-12,um,Surface,Ellipsoid Axis C,1,2430,
0.286788,0.957994,3.24778e-12,um,Surface,Ellipsoid Axis C,1,2431,
0.94868,-0.316237,1.34543e-12,um,Surface,Ellipsoid Axis C,1,2432,
0.996609,-0.0822859,-2.51109e-12,um,Surface,Ellipsoid Axis C,1,2433,
-0.082082,-0.996626,1.7472e-12,um,Surface,Ellipsoid Axis C,1,2434,
0.150942,-0.988543,-2.93326e-12,um,Surface,Ellipsoid Axis C,1,2435,
0.61543,-0.788192,-1.27019e-11,um,Surface,Ellipsoid Axis C,1,2436,
0.562245,0.826971,-5.19206e-13,um,Surface,Ellipsoid Axis C,1,2437,
0.808069,0.589088,-3.34238e-12,um,Surface,Ellipsoid Axis C,1,2438,
0.865498,-0.500912,1.75116e-13,um,Surface,Ellipsoid Axis C,1,2439,
-0.664399,0.747378,0,um,Surface,Ellipsoid Axis C,1,2440,
-0.999102,-0.0423684,-3.76213e-12,um,Surface,Ellipsoid Axis C,1,2441,
0.164783,0.98633,3.34853e-13,um,Surface,Ellipsoid Axis C,1,2442,
