
Intensity Center Ch=5 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
154,,Surface,5,Image 1,1,2422,
128,,Surface,5,Image 1,1,2423,
109,,Surface,5,Image 1,1,2424,
134,,Surface,5,Image 1,1,2425,
134,,Surface,5,Image 1,1,2426,
142,,Surface,5,Image 1,1,2427,
105,,Surface,5,Image 1,1,2428,
108,,Surface,5,Image 1,1,2429,
109,,Surface,5,Image 1,1,2430,
135,,Surface,5,Image 1,1,2431,
110,,Surface,5,Image 1,1,2432,
115,,Surface,5,Image 1,1,2433,
120,,Surface,5,Image 1,1,2434,
140,,Surface,5,Image 1,1,2435,
145,,Surface,5,Image 1,1,2436,
90,,Surface,5,Image 1,1,2437,
115,,Surface,5,Image 1,1,2438,
103,,Surface,5,Image 1,1,2439,
135,,Surface,5,Image 1,1,2440,
146,,Surface,5,Image 1,1,2441,
121,,Surface,5,Image 1,1,2442,
97,,Surface,5,Image 1,1,2443,
123,,Surface,5,Image 1,1,2444,
163,,Surface,5,Image 1,1,2445,
118,,Surface,5,Image 1,1,2446,
137,,Surface,5,Image 1,1,2447,
78,,Surface,5,Image 1,1,2448,
129,,Surface,5,Image 1,1,2449,
111,,Surface,5,Image 1,1,2450,
142,,Surface,5,Image 1,1,2451,
129,,Surface,5,Image 1,1,2452,
105,,Surface,5,Image 1,1,2453,
140,,Surface,5,Image 1,1,2454,
129,,Surface,5,Image 1,1,2455,
109,,Surface,5,Image 1,1,2456,
98,,Surface,5,Image 1,1,2457,
140,,Surface,5,Image 1,1,2458,
89,,Surface,5,Image 1,1,2459,
125,,Surface,5,Image 1,1,2460,
105,,Surface,5,Image 1,1,2461,
143,,Surface,5,Image 1,1,2462,
128,,Surface,5,Image 1,1,2463,
112,,Surface,5,Image 1,1,2464,
131,,Surface,5,Image 1,1,2465,
112,,Surface,5,Image 1,1,2466,
158,,Surface,5,Image 1,1,2467,
125,,Surface,5,Image 1,1,2468,
114,,Surface,5,Image 1,1,2469,
116,,Surface,5,Image 1,1,2470,
118,,Surface,5,Image 1,1,2471,
124,,Surface,5,Image 1,1,2472,
126,,Surface,5,Image 1,1,2473,
102,,Surface,5,Image 1,1,2474,
120,,Surface,5,Image 1,1,2475,
132,,Surface,5,Image 1,1,2476,
154,,Surface,5,Image 1,1,2477,
121,,Surface,5,Image 1,1,2478,
131,,Surface,5,Image 1,1,2479,
171,,Surface,5,Image 1,1,2480,
104,,Surface,5,Image 1,1,2481,
120,,Surface,5,Image 1,1,2482,
108,,Surface,5,Image 1,1,2483,
111,,Surface,5,Image 1,1,2484,
92,,Surface,5,Image 1,1,2485,
175,,Surface,5,Image 1,1,2486,
110,,Surface,5,Image 1,1,2487,
111,,Surface,5,Image 1,1,2488,
99,,Surface,5,Image 1,1,2489,
102,,Surface,5,Image 1,1,2490,
134,,Surface,5,Image 1,1,2491,
118,,Surface,5,Image 1,1,2492,
133,,Surface,5,Image 1,1,2493,
137,,Surface,5,Image 1,1,2494,
102,,Surface,5,Image 1,1,2495,
138,,Surface,5,Image 1,1,2496,
151,,Surface,5,Image 1,1,2497,
126,,Surface,5,Image 1,1,2498,
128,,Surface,5,Image 1,1,2499,
159,,Surface,5,Image 1,1,2500,
144,,Surface,5,Image 1,1,2501,
129,,Surface,5,Image 1,1,2502,
118,,Surface,5,Image 1,1,2503,
117,,Surface,5,Image 1,1,2504,
115,,Surface,5,Image 1,1,2505,
129,,Surface,5,Image 1,1,2506,
92,,Surface,5,Image 1,1,2507,
123,,Surface,5,Image 1,1,2508,
92,,Surface,5,Image 1,1,2509,
139,,Surface,5,Image 1,1,2510,
101,,Surface,5,Image 1,1,2511,
133,,Surface,5,Image 1,1,2512,
126,,Surface,5,Image 1,1,2513,
137,,Surface,5,Image 1,1,2514,
110,,Surface,5,Image 1,1,2515,
112,,Surface,5,Image 1,1,2516,
149,,Surface,5,Image 1,1,2517,
121,,Surface,5,Image 1,1,2518,
102,,Surface,5,Image 1,1,2519,
82,,Surface,5,Image 1,1,2520,
123,,Surface,5,Image 1,1,2521,
113,,Surface,5,Image 1,1,2522,
126,,Surface,5,Image 1,1,2523,
92,,Surface,5,Image 1,1,2524,
130,,Surface,5,Image 1,1,2525,
149,,Surface,5,Image 1,1,2526,
144,,Surface,5,Image 1,1,2527,
112,,Surface,5,Image 1,1,2528,
136,,Surface,5,Image 1,1,2529,
104,,Surface,5,Image 1,1,2530,
100,,Surface,5,Image 1,1,2531,
94,,Surface,5,Image 1,1,2532,
87,,Surface,5,Image 1,1,2533,
107,,Surface,5,Image 1,1,2534,
107,,Surface,5,Image 1,1,2535,
93,,Surface,5,Image 1,1,2536,
138,,Surface,5,Image 1,1,2537,
127,,Surface,5,Image 1,1,2538,
133,,Surface,5,Image 1,1,2539,
117,,Surface,5,Image 1,1,2540,
104,,Surface,5,Image 1,1,2541,
60,,Surface,5,Image 1,1,2542,
101,,Surface,5,Image 1,1,2543,
121,,Surface,5,Image 1,1,2544,
132,,Surface,5,Image 1,1,2545,
124,,Surface,5,Image 1,1,2546,
136,,Surface,5,Image 1,1,2547,
104,,Surface,5,Image 1,1,2548,
117,,Surface,5,Image 1,1,2549,
133,,Surface,5,Image 1,1,2550,
113,,Surface,5,Image 1,1,2551,
109,,Surface,5,Image 1,1,2552,
131,,Surface,5,Image 1,1,2553,
117,,Surface,5,Image 1,1,2554,
129,,Surface,5,Image 1,1,2555,
105,,Surface,5,Image 1,1,2556,
122,,Surface,5,Image 1,1,2557,
104,,Surface,5,Image 1,1,2558,
128,,Surface,5,Image 1,1,2559,
116,,Surface,5,Image 1,1,2560,
107,,Surface,5,Image 1,1,2561,
134,,Surface,5,Image 1,1,2562,
99,,Surface,5,Image 1,1,2563,
133,,Surface,5,Image 1,1,2564,
102,,Surface,5,Image 1,1,2565,
102,,Surface,5,Image 1,1,2566,
124,,Surface,5,Image 1,1,2567,
123,,Surface,5,Image 1,1,2568,
123,,Surface,5,Image 1,1,2569,
107,,Surface,5,Image 1,1,2570,
100,,Surface,5,Image 1,1,2571,
109,,Surface,5,Image 1,1,2572,
