
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
161,,Surface,5,Image 1,1,2422,
165,,Surface,5,Image 1,1,2423,
158,,Surface,5,Image 1,1,2424,
163,,Surface,5,Image 1,1,2425,
170,,Surface,5,Image 1,1,2426,
164,,Surface,5,Image 1,1,2427,
162,,Surface,5,Image 1,1,2428,
175,,Surface,5,Image 1,1,2429,
136,,Surface,5,Image 1,1,2430,
168,,Surface,5,Image 1,1,2431,
141,,Surface,5,Image 1,1,2432,
153,,Surface,5,Image 1,1,2433,
169,,Surface,5,Image 1,1,2434,
188,,Surface,5,Image 1,1,2435,
159,,Surface,5,Image 1,1,2436,
163,,Surface,5,Image 1,1,2437,
168,,Surface,5,Image 1,1,2438,
160,,Surface,5,Image 1,1,2439,
168,,Surface,5,Image 1,1,2440,
191,,Surface,5,Image 1,1,2441,
176,,Surface,5,Image 1,1,2442,
125,,Surface,5,Image 1,1,2443,
147,,Surface,5,Image 1,1,2444,
173,,Surface,5,Image 1,1,2445,
170,,Surface,5,Image 1,1,2446,
172,,Surface,5,Image 1,1,2447,
165,,Surface,5,Image 1,1,2448,
150,,Surface,5,Image 1,1,2449,
148,,Surface,5,Image 1,1,2450,
158,,Surface,5,Image 1,1,2451,
153,,Surface,5,Image 1,1,2452,
147,,Surface,5,Image 1,1,2453,
168,,Surface,5,Image 1,1,2454,
148,,Surface,5,Image 1,1,2455,
165,,Surface,5,Image 1,1,2456,
162,,Surface,5,Image 1,1,2457,
163,,Surface,5,Image 1,1,2458,
153,,Surface,5,Image 1,1,2459,
168,,Surface,5,Image 1,1,2460,
156,,Surface,5,Image 1,1,2461,
149,,Surface,5,Image 1,1,2462,
167,,Surface,5,Image 1,1,2463,
157,,Surface,5,Image 1,1,2464,
171,,Surface,5,Image 1,1,2465,
152,,Surface,5,Image 1,1,2466,
166,,Surface,5,Image 1,1,2467,
158,,Surface,5,Image 1,1,2468,
172,,Surface,5,Image 1,1,2469,
166,,Surface,5,Image 1,1,2470,
156,,Surface,5,Image 1,1,2471,
158,,Surface,5,Image 1,1,2472,
159,,Surface,5,Image 1,1,2473,
153,,Surface,5,Image 1,1,2474,
189,,Surface,5,Image 1,1,2475,
195,,Surface,5,Image 1,1,2476,
166,,Surface,5,Image 1,1,2477,
164,,Surface,5,Image 1,1,2478,
159,,Surface,5,Image 1,1,2479,
171,,Surface,5,Image 1,1,2480,
164,,Surface,5,Image 1,1,2481,
164,,Surface,5,Image 1,1,2482,
148,,Surface,5,Image 1,1,2483,
166,,Surface,5,Image 1,1,2484,
169,,Surface,5,Image 1,1,2485,
179,,Surface,5,Image 1,1,2486,
157,,Surface,5,Image 1,1,2487,
139,,Surface,5,Image 1,1,2488,
162,,Surface,5,Image 1,1,2489,
155,,Surface,5,Image 1,1,2490,
156,,Surface,5,Image 1,1,2491,
176,,Surface,5,Image 1,1,2492,
187,,Surface,5,Image 1,1,2493,
181,,Surface,5,Image 1,1,2494,
171,,Surface,5,Image 1,1,2495,
146,,Surface,5,Image 1,1,2496,
164,,Surface,5,Image 1,1,2497,
161,,Surface,5,Image 1,1,2498,
152,,Surface,5,Image 1,1,2499,
184,,Surface,5,Image 1,1,2500,
180,,Surface,5,Image 1,1,2501,
171,,Surface,5,Image 1,1,2502,
158,,Surface,5,Image 1,1,2503,
151,,Surface,5,Image 1,1,2504,
167,,Surface,5,Image 1,1,2505,
186,,Surface,5,Image 1,1,2506,
164,,Surface,5,Image 1,1,2507,
169,,Surface,5,Image 1,1,2508,
162,,Surface,5,Image 1,1,2509,
157,,Surface,5,Image 1,1,2510,
182,,Surface,5,Image 1,1,2511,
163,,Surface,5,Image 1,1,2512,
