
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
84.3488,,Surface,6,Image 1,1,2422,
67.1103,,Surface,6,Image 1,1,2423,
77.3594,,Surface,6,Image 1,1,2424,
84.8646,,Surface,6,Image 1,1,2425,
68.1791,,Surface,6,Image 1,1,2426,
74.9557,,Surface,6,Image 1,1,2427,
88.5058,,Surface,6,Image 1,1,2428,
79,,Surface,6,Image 1,1,2429,
99.125,,Surface,6,Image 1,1,2430,
69.2679,,Surface,6,Image 1,1,2431,
71.4211,,Surface,6,Image 1,1,2432,
59.5227,,Surface,6,Image 1,1,2433,
74.8182,,Surface,6,Image 1,1,2434,
76.6746,,Surface,6,Image 1,1,2435,
76.0595,,Surface,6,Image 1,1,2436,
68.626,,Surface,6,Image 1,1,2437,
79.5156,,Surface,6,Image 1,1,2438,
66.4659,,Surface,6,Image 1,1,2439,
65.0441,,Surface,6,Image 1,1,2440,
86.8596,,Surface,6,Image 1,1,2441,
72.5472,,Surface,6,Image 1,1,2442,
96.5,,Surface,6,Image 1,1,2443,
85.1923,,Surface,6,Image 1,1,2444,
68.517,,Surface,6,Image 1,1,2445,
70.5789,,Surface,6,Image 1,1,2446,
72.1923,,Surface,6,Image 1,1,2447,
72.8534,,Surface,6,Image 1,1,2448,
71.235,,Surface,6,Image 1,1,2449,
76.2321,,Surface,6,Image 1,1,2450,
66.6875,,Surface,6,Image 1,1,2451,
76.4623,,Surface,6,Image 1,1,2452,
75.5694,,Surface,6,Image 1,1,2453,
72.9074,,Surface,6,Image 1,1,2454,
86.6538,,Surface,6,Image 1,1,2455,
72.2421,,Surface,6,Image 1,1,2456,
92.1667,,Surface,6,Image 1,1,2457,
90.8793,,Surface,6,Image 1,1,2458,
77.3672,,Surface,6,Image 1,1,2459,
74.7708,,Surface,6,Image 1,1,2460,
67.9856,,Surface,6,Image 1,1,2461,
60.4583,,Surface,6,Image 1,1,2462,
85.2245,,Surface,6,Image 1,1,2463,
62.9919,,Surface,6,Image 1,1,2464,
76.7877,,Surface,6,Image 1,1,2465,
71.875,,Surface,6,Image 1,1,2466,
86.8316,,Surface,6,Image 1,1,2467,
90.8,,Surface,6,Image 1,1,2468,
66.0523,,Surface,6,Image 1,1,2469,
69.3064,,Surface,6,Image 1,1,2470,
66.8,,Surface,6,Image 1,1,2471,
107.179,,Surface,6,Image 1,1,2472,
87.6111,,Surface,6,Image 1,1,2473,
73.8125,,Surface,6,Image 1,1,2474,
68.3913,,Surface,6,Image 1,1,2475,
55.8194,,Surface,6,Image 1,1,2476,
59.7841,,Surface,6,Image 1,1,2477,
61.3816,,Surface,6,Image 1,1,2478,
107.428,,Surface,6,Image 1,1,2479,
80.9375,,Surface,6,Image 1,1,2480,
75.2,,Surface,6,Image 1,1,2481,
94.3821,,Surface,6,Image 1,1,2482,
81.8977,,Surface,6,Image 1,1,2483,
101.333,,Surface,6,Image 1,1,2484,
87.1583,,Surface,6,Image 1,1,2485,
72.9397,,Surface,6,Image 1,1,2486,
76.3939,,Surface,6,Image 1,1,2487,
66.9583,,Surface,6,Image 1,1,2488,
86.25,,Surface,6,Image 1,1,2489,
101.15,,Surface,6,Image 1,1,2490,
94.1915,,Surface,6,Image 1,1,2491,
63.5658,,Surface,6,Image 1,1,2492,
71.5667,,Surface,6,Image 1,1,2493,
66.8402,,Surface,6,Image 1,1,2494,
60.1629,,Surface,6,Image 1,1,2495,
