
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
34.008,,Surface,3,Image 1,1,2422,
14.006,,Surface,3,Image 1,1,2423,
12.984,,Surface,3,Image 1,1,2424,
36.528,,Surface,3,Image 1,1,2425,
29.008,,Surface,3,Image 1,1,2426,
37.97,,Surface,3,Image 1,1,2427,
31.064,,Surface,3,Image 1,1,2428,
35.488,,Surface,3,Image 1,1,2429,
81.496,,Surface,3,Image 1,1,2430,
11.002,,Surface,3,Image 1,1,2431,
49.976,,Surface,3,Image 1,1,2432,
46.512,,Surface,3,Image 1,1,2433,
14.01,,Surface,3,Image 1,1,2434,
15.998,,Surface,3,Image 1,1,2435,
18.016,,Surface,3,Image 1,1,2436,
33.456,,Surface,3,Image 1,1,2437,
42.002,,Surface,3,Image 1,1,2438,
29.025,,Surface,3,Image 1,1,2439,
11.992,,Surface,3,Image 1,1,2440,
51.052,,Surface,3,Image 1,1,2441,
31.04,,Surface,3,Image 1,1,2442,
32.02,,Surface,3,Image 1,1,2443,
122.472,,Surface,3,Image 1,1,2444,
17.006,,Surface,3,Image 1,1,2445,
28.04,,Surface,3,Image 1,1,2446,
64.032,,Surface,3,Image 1,1,2447,
18.008,,Surface,3,Image 1,1,2448,
41.01,,Surface,3,Image 1,1,2449,
64.496,,Surface,3,Image 1,1,2450,
63.507,,Surface,3,Image 1,1,2451,
44.936,,Surface,3,Image 1,1,2452,
41.028,,Surface,3,Image 1,1,2453,
27.52,,Surface,3,Image 1,1,2454,
15.504,,Surface,3,Image 1,1,2455,
27.984,,Surface,3,Image 1,1,2456,
26.992,,Surface,3,Image 1,1,2457,
28,,Surface,3,Image 1,1,2458,
32.04,,Surface,3,Image 1,1,2459,
23.504,,Surface,3,Image 1,1,2460,
57,,Surface,3,Image 1,1,2461,
27.504,,Surface,3,Image 1,1,2462,
37.982,,Surface,3,Image 1,1,2463,
15.01,,Surface,3,Image 1,1,2464,
41.96,,Surface,3,Image 1,1,2465,
41.976,,Surface,3,Image 1,1,2466,
40.006,,Surface,3,Image 1,1,2467,
