
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
9,,Surface,2,Image 1,1,2422,
52,,Surface,2,Image 1,1,2423,
14,,Surface,2,Image 1,1,2424,
3,,Surface,2,Image 1,1,2425,
7,,Surface,2,Image 1,1,2426,
10,,Surface,2,Image 1,1,2427,
12,,Surface,2,Image 1,1,2428,
8,,Surface,2,Image 1,1,2429,
6,,Surface,2,Image 1,1,2430,
55,,Surface,2,Image 1,1,2431,
1,,Surface,2,Image 1,1,2432,
12,,Surface,2,Image 1,1,2433,
33,,Surface,2,Image 1,1,2434,
0,,Surface,2,Image 1,1,2435,
14,,Surface,2,Image 1,1,2436,
17,,Surface,2,Image 1,1,2437,
7,,Surface,2,Image 1,1,2438,
12,,Surface,2,Image 1,1,2439,
71,,Surface,2,Image 1,1,2440,
15,,Surface,2,Image 1,1,2441,
8,,Surface,2,Image 1,1,2442,
18,,Surface,2,Image 1,1,2443,
19,,Surface,2,Image 1,1,2444,
40,,Surface,2,Image 1,1,2445,
3,,Surface,2,Image 1,1,2446,
8,,Surface,2,Image 1,1,2447,
16,,Surface,2,Image 1,1,2448,
18,,Surface,2,Image 1,1,2449,
23,,Surface,2,Image 1,1,2450,
34,,Surface,2,Image 1,1,2451,
15,,Surface,2,Image 1,1,2452,
16,,Surface,2,Image 1,1,2453,
18,,Surface,2,Image 1,1,2454,
17,,Surface,2,Image 1,1,2455,
10,,Surface,2,Image 1,1,2456,
5,,Surface,2,Image 1,1,2457,
17,,Surface,2,Image 1,1,2458,
8,,Surface,2,Image 1,1,2459,
9,,Surface,2,Image 1,1,2460,
15,,Surface,2,Image 1,1,2461,
17,,Surface,2,Image 1,1,2462,
9,,Surface,2,Image 1,1,2463,
20,,Surface,2,Image 1,1,2464,
9,,Surface,2,Image 1,1,2465,
20,,Surface,2,Image 1,1,2466,
7,,Surface,2,Image 1,1,2467,
15,,Surface,2,Image 1,1,2468,
50,,Surface,2,Image 1,1,2469,
25,,Surface,2,Image 1,1,2470,
20,,Surface,2,Image 1,1,2471,
11,,Surface,2,Image 1,1,2472,
22,,Surface,2,Image 1,1,2473,
6,,Surface,2,Image 1,1,2474,
21,,Surface,2,Image 1,1,2475,
50,,Surface,2,Image 1,1,2476,
