
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
16.9103,,Surface,3,Image 1,1,2422,
5.9572,,Surface,3,Image 1,1,2423,
7.15753,,Surface,3,Image 1,1,2424,
21.1544,,Surface,3,Image 1,1,2425,
14.2099,,Surface,3,Image 1,1,2426,
17.0212,,Surface,3,Image 1,1,2427,
17.1385,,Surface,3,Image 1,1,2428,
13.0698,,Surface,3,Image 1,1,2429,
29.1504,,Surface,3,Image 1,1,2430,
3.01183,,Surface,3,Image 1,1,2431,
11.8034,,Surface,3,Image 1,1,2432,
15.2078,,Surface,3,Image 1,1,2433,
5.10812,,Surface,3,Image 1,1,2434,
5.21533,,Surface,3,Image 1,1,2435,
9.07636,,Surface,3,Image 1,1,2436,
28.9776,,Surface,3,Image 1,1,2437,
19.6047,,Surface,3,Image 1,1,2438,
12.1843,,Surface,3,Image 1,1,2439,
3.91287,,Surface,3,Image 1,1,2440,
23.726,,Surface,3,Image 1,1,2441,
23.52,,Surface,3,Image 1,1,2442,
11.9791,,Surface,3,Image 1,1,2443,
37.9957,,Surface,3,Image 1,1,2444,
9.21914,,Surface,3,Image 1,1,2445,
27.0073,,Surface,3,Image 1,1,2446,
24.2641,,Surface,3,Image 1,1,2447,
8.65017,,Surface,3,Image 1,1,2448,
20.1524,,Surface,3,Image 1,1,2449,
27.266,,Surface,3,Image 1,1,2450,
19.8534,,Surface,3,Image 1,1,2451,
21.3068,,Surface,3,Image 1,1,2452,
20.6359,,Surface,3,Image 1,1,2453,
28.9916,,Surface,3,Image 1,1,2454,
23.567,,Surface,3,Image 1,1,2455,
17.9287,,Surface,3,Image 1,1,2456,
15.4784,,Surface,3,Image 1,1,2457,
9.10865,,Surface,3,Image 1,1,2458,
15.9768,,Surface,3,Image 1,1,2459,
11.0642,,Surface,3,Image 1,1,2460,
17.9409,,Surface,3,Image 1,1,2461,
8.40526,,Surface,3,Image 1,1,2462,
16.0739,,Surface,3,Image 1,1,2463,
7.17814,,Surface,3,Image 1,1,2464,
23.854,,Surface,3,Image 1,1,2465,
16.8658,,Surface,3,Image 1,1,2466,
25.5305,,Surface,3,Image 1,1,2467,
20.9934,,Surface,3,Image 1,1,2468,
5.16701,,Surface,3,Image 1,1,2469,
7.18459,,Surface,3,Image 1,1,2470,
6.93249,,Surface,3,Image 1,1,2471,
20.6719,,Surface,3,Image 1,1,2472,
8.3666,,Surface,3,Image 1,1,2473,
15.7145,,Surface,3,Image 1,1,2474,
3.33531,,Surface,3,Image 1,1,2475,
6.53357,,Surface,3,Image 1,1,2476,
2.24391,,Surface,3,Image 1,1,2477,
26.0371,,Surface,3,Image 1,1,2478,
24.3331,,Surface,3,Image 1,1,2479,
10.6732,,Surface,3,Image 1,1,2480,
17.3483,,Surface,3,Image 1,1,2481,
12.3502,,Surface,3,Image 1,1,2482,
21.1241,,Surface,3,Image 1,1,2483,
9.99216,,Surface,3,Image 1,1,2484,
11.0637,,Surface,3,Image 1,1,2485,
20.9381,,Surface,3,Image 1,1,2486,
24.1454,,Surface,3,Image 1,1,2487,
9.29568,,Surface,3,Image 1,1,2488,
18.8811,,Surface,3,Image 1,1,2489,
23.0227,,Surface,3,Image 1,1,2490,
19.9833,,Surface,3,Image 1,1,2491,
2.21781,,Surface,3,Image 1,1,2492,
14.2249,,Surface,3,Image 1,1,2493,
2.7712,,Surface,3,Image 1,1,2494,
2.12432,,Surface,3,Image 1,1,2495,
1.9322,,Surface,3,Image 1,1,2496,
11.1331,,Surface,3,Image 1,1,2497,
5.91712,,Surface,3,Image 1,1,2498,
12.4196,,Surface,3,Image 1,1,2499,
8.01144,,Surface,3,Image 1,1,2500,
7.50986,,Surface,3,Image 1,1,2501,
17.3033,,Surface,3,Image 1,1,2502,
2.18772,,Surface,3,Image 1,1,2503,
11.703,,Surface,3,Image 1,1,2504,
2.36314,,Surface,3,Image 1,1,2505,
4.75669,,Surface,3,Image 1,1,2506,
24.0887,,Surface,3,Image 1,1,2507,
25.5033,,Surface,3,Image 1,1,2508,
6.46383,,Surface,3,Image 1,1,2509,
7.57033,,Surface,3,Image 1,1,2510,
10.4307,,Surface,3,Image 1,1,2511,
7.07459,,Surface,3,Image 1,1,2512,
1.76045,,Surface,3,Image 1,1,2513,
2.09781,,Surface,3,Image 1,1,2514,
17.1685,,Surface,3,Image 1,1,2515,
2.01203,,Surface,3,Image 1,1,2516,
11.4757,,Surface,3,Image 1,1,2517,
3.86199,,Surface,3,Image 1,1,2518,
9.80141,,Surface,3,Image 1,1,2519,
6.79657,,Surface,3,Image 1,1,2520,
3.61417,,Surface,3,Image 1,1,2521,
2.35256,,Surface,3,Image 1,1,2522,
2.77514,,Surface,3,Image 1,1,2523,
21.5979,,Surface,3,Image 1,1,2524,
30.8911,,Surface,3,Image 1,1,2525,
24.2799,,Surface,3,Image 1,1,2526,
23.1514,,Surface,3,Image 1,1,2527,
10.0793,,Surface,3,Image 1,1,2528,
9.49555,,Surface,3,Image 1,1,2529,
14.7562,,Surface,3,Image 1,1,2530,
2.53771,,Surface,3,Image 1,1,2531,
15.7014,,Surface,3,Image 1,1,2532,
5.86721,,Surface,3,Image 1,1,2533,
2.16643,,Surface,3,Image 1,1,2534,
3.66374,,Surface,3,Image 1,1,2535,
3.50116,,Surface,3,Image 1,1,2536,
4.33004,,Surface,3,Image 1,1,2537,
2.5826,,Surface,3,Image 1,1,2538,
9.86197,,Surface,3,Image 1,1,2539,
1.94499,,Surface,3,Image 1,1,2540,
15.7523,,Surface,3,Image 1,1,2541,
10.8713,,Surface,3,Image 1,1,2542,
14.0942,,Surface,3,Image 1,1,2543,
20.32,,Surface,3,Image 1,1,2544,
17.8402,,Surface,3,Image 1,1,2545,
3.15699,,Surface,3,Image 1,1,2546,
7.4921,,Surface,3,Image 1,1,2547,
29.1269,,Surface,3,Image 1,1,2548,
22.9259,,Surface,3,Image 1,1,2549,
1.93886,,Surface,3,Image 1,1,2550,
30.262,,Surface,3,Image 1,1,2551,
2.36334,,Surface,3,Image 1,1,2552,
2.65503,,Surface,3,Image 1,1,2553,
2.17431,,Surface,3,Image 1,1,2554,
25.199,,Surface,3,Image 1,1,2555,
25.3757,,Surface,3,Image 1,1,2556,
1.81532,,Surface,3,Image 1,1,2557,
2.21816,,Surface,3,Image 1,1,2558,
20.778,,Surface,3,Image 1,1,2559,
23.9728,,Surface,3,Image 1,1,2560,
18.2231,,Surface,3,Image 1,1,2561,
23.3184,,Surface,3,Image 1,1,2562,
2.5515,,Surface,3,Image 1,1,2563,
29.3886,,Surface,3,Image 1,1,2564,
10.4894,,Surface,3,Image 1,1,2565,
33.0661,,Surface,3,Image 1,1,2566,
19.8986,,Surface,3,Image 1,1,2567,
28.1994,,Surface,3,Image 1,1,2568,
21.5258,,Surface,3,Image 1,1,2569,
12.6876,,Surface,3,Image 1,1,2570,
16.4498,,Surface,3,Image 1,1,2571,
31.0999,,Surface,3,Image 1,1,2572,
4.1107,,Surface,3,Image 1,1,2573,
9.38358,,Surface,3,Image 1,1,2574,
8.4136,,Surface,3,Image 1,1,2575,
2.53503,,Surface,3,Image 1,1,2576,
3.6402,,Surface,3,Image 1,1,2577,
11.6331,,Surface,3,Image 1,1,2578,
5.22458,,Surface,3,Image 1,1,2579,
10.427,,Surface,3,Image 1,1,2580,
2.39409,,Surface,3,Image 1,1,2581,
8.56987,,Surface,3,Image 1,1,2582,
2.32966,,Surface,3,Image 1,1,2583,
34.8698,,Surface,3,Image 1,1,2584,
20.9728,,Surface,3,Image 1,1,2585,
2.28557,,Surface,3,Image 1,1,2586,
31.1422,,Surface,3,Image 1,1,2587,
19.175,,Surface,3,Image 1,1,2588,
26.6986,,Surface,3,Image 1,1,2589,
15.0597,,Surface,3,Image 1,1,2590,
6.07239,,Surface,3,Image 1,1,2591,
21.3109,,Surface,3,Image 1,1,2592,
24.2167,,Surface,3,Image 1,1,2593,
15.7603,,Surface,3,Image 1,1,2594,
13.4676,,Surface,3,Image 1,1,2595,
19.0588,,Surface,3,Image 1,1,2596,
14.9032,,Surface,3,Image 1,1,2597,
22.797,,Surface,3,Image 1,1,2598,
13.9895,,Surface,3,Image 1,1,2599,
22.6823,,Surface,3,Image 1,1,2600,
17.9791,,Surface,3,Image 1,1,2601,
12.4347,,Surface,3,Image 1,1,2602,
23.599,,Surface,3,Image 1,1,2603,
20.1727,,Surface,3,Image 1,1,2604,
31.7677,,Surface,3,Image 1,1,2605,
26.2559,,Surface,3,Image 1,1,2606,
14.4143,,Surface,3,Image 1,1,2607,
2.43029,,Surface,3,Image 1,1,2608,
20.3704,,Surface,3,Image 1,1,2609,
2.52114,,Surface,3,Image 1,1,2610,
9.92537,,Surface,3,Image 1,1,2611,
6.72409,,Surface,3,Image 1,1,2612,
11.3097,,Surface,3,Image 1,1,2613,
27.2892,,Surface,3,Image 1,1,2614,
13.7768,,Surface,3,Image 1,1,2615,
11.4509,,Surface,3,Image 1,1,2616,
44.8473,,Surface,3,Image 1,1,2617,
34.4933,,Surface,3,Image 1,1,2618,
29.0412,,Surface,3,Image 1,1,2619,
14.5717,,Surface,3,Image 1,1,2620,
15.781,,Surface,3,Image 1,1,2621,
21.8684,,Surface,3,Image 1,1,2622,
7.32794,,Surface,3,Image 1,1,2623,
29.5463,,Surface,3,Image 1,1,2624,
28.7246,,Surface,3,Image 1,1,2625,
26.0571,,Surface,3,Image 1,1,2626,
28.5573,,Surface,3,Image 1,1,2627,
28.56,,Surface,3,Image 1,1,2628,
10.5503,,Surface,3,Image 1,1,2629,
36.2627,,Surface,3,Image 1,1,2630,
22.2726,,Surface,3,Image 1,1,2631,
3.65449,,Surface,3,Image 1,1,2632,
