
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
19884,,Surface,5,Image 1,1,2422,
18062,,Surface,5,Image 1,1,2423,
7492,,Surface,5,Image 1,1,2424,
12129,,Surface,5,Image 1,1,2425,
35477,,Surface,5,Image 1,1,2426,
47943,,Surface,5,Image 1,1,2427,
20108,,Surface,5,Image 1,1,2428,
37247,,Surface,5,Image 1,1,2429,
5375,,Surface,5,Image 1,1,2430,
7373,,Surface,5,Image 1,1,2431,
8385,,Surface,5,Image 1,1,2432,
5155,,Surface,5,Image 1,1,2433,
16674,,Surface,5,Image 1,1,2434,
32916,,Surface,5,Image 1,1,2435,
21196,,Surface,5,Image 1,1,2436,
58926,,Surface,5,Image 1,1,2437,
23013,,Surface,5,Image 1,1,2438,
10529,,Surface,5,Image 1,1,2439,
8413,,Surface,5,Image 1,1,2440,
29195,,Surface,5,Image 1,1,2441,
52906,,Surface,5,Image 1,1,2442,
2556,,Surface,5,Image 1,1,2443,
5976,,Surface,5,Image 1,1,2444,
30709,,Surface,5,Image 1,1,2445,
81746,,Surface,5,Image 1,1,2446,
12359,,Surface,5,Image 1,1,2447,
14372,,Surface,5,Image 1,1,2448,
23292,,Surface,5,Image 1,1,2449,
6746,,Surface,5,Image 1,1,2450,
7866,,Surface,5,Image 1,1,2451,
34359,,Surface,5,Image 1,1,2452,
8600,,Surface,5,Image 1,1,2453,
13392,,Surface,5,Image 1,1,2454,
11538,,Surface,5,Image 1,1,2455,
29620,,Surface,5,Image 1,1,2456,
20263,,Surface,5,Image 1,1,2457,
13879,,Surface,5,Image 1,1,2458,
14710,,Surface,5,Image 1,1,2459,
11402,,Surface,5,Image 1,1,2460,
23886,,Surface,5,Image 1,1,2461,
11548,,Surface,5,Image 1,1,2462,
23107,,Surface,5,Image 1,1,2463,
15075,,Surface,5,Image 1,1,2464,
35308,,Surface,5,Image 1,1,2465,
7344,,Surface,5,Image 1,1,2466,
44206,,Surface,5,Image 1,1,2467,
16794,,Surface,5,Image 1,1,2468,
22646,,Surface,5,Image 1,1,2469,
15197,,Surface,5,Image 1,1,2470,
4906,,Surface,5,Image 1,1,2471,
23113,,Surface,5,Image 1,1,2472,
4257,,Surface,5,Image 1,1,2473,
9385,,Surface,5,Image 1,1,2474,
23313,,Surface,5,Image 1,1,2475,
11262,,Surface,5,Image 1,1,2476,
10816,,Surface,5,Image 1,1,2477,
19054,,Surface,5,Image 1,1,2478,
24635,,Surface,5,Image 1,1,2479,
6049,,Surface,5,Image 1,1,2480,
11968,,Surface,5,Image 1,1,2481,
32628,,Surface,5,Image 1,1,2482,
10369,,Surface,5,Image 1,1,2483,
5523,,Surface,5,Image 1,1,2484,
14122,,Surface,5,Image 1,1,2485,
15961,,Surface,5,Image 1,1,2486,
31437,,Surface,5,Image 1,1,2487,
2835,,Surface,5,Image 1,1,2488,
14933,,Surface,5,Image 1,1,2489,
